t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0
0.23650000000000002,-0.0774130939186672,-0.09658877403277055,4.050502891735566e-05,0.0006839189218114783,0.018396069457121158,5.476557873689916e-05,4.211275164701292e-07
0.23700000000000002,-0.07742132051952107,-0.09592446398996946,3.869458504903338e-05,0.0006569116163611589,0.017754540743511876,5.2594288108996484e-05,4.0223741733717283e-07
0.23750000000000002,-0.07742937652713104,-0.0952788923540938,3.6977780329445254e-05,0.0006203804863590814,0.017142112318089528,4.966100369136676e-05,3.84238493329675e-07
0.23800000000000002,-0.07743723409718382,-0.09465707568681597,3.5363885241132656e-05,0.0005755699816026727,0.016562474869993998,4.606561814334011e-05,3.672346510161129e-07
0.23850000000000002,-0.07744487009466965,-0.09406379140128174,3.386053709142815e-05,0.0005239665992293667,0.016018815483916298,4.192737366100244e-05,3.5131271399861525e-07
0.23900000000000002,-0.0774522667646928,-0.09350354159880266,3.247384417531392e-05,0.0004672467381536732,0.015513837028153236,3.738068032492534e-05,3.36543302703119e-07
0.23950000000000002,-0.07745941221829206,-0.09298051946708066,3.120851653063061e-05,0.0004072194739766271,0.015049785747216396,3.257052904212207e-05,3.2298202283193525e-07
0.24,-0.077466300721261,-0.0924985784859094,3.0068016403107433e-05,0.00034576618076591055,0.014628485243121164,2.7647653463003846e-05,3.106708952049206e-07
0.2405,-0.07747293278048394,-0.0920612046613489,2.9054721242059386e-05,0.00028477899026246444,0.014251374929060808,2.276360034440801e-05,2.99639955230455e-07
0.241,-0.0774793150288817,-0.09167149198288438,2.8170091999460946e-05,0.0002261000783591599,0.013919551006971561,1.806586772420457e-05,2.899089482981072e-07
0.2415,-0.07748545991648104,-0.09133212127028005,2.7414839701147335e-05,0.00017146370437719468,0.013633808055599848,1.36932650728651e-05,2.814890479594311e-07
0.242,-0.07749138522117653,-0.09104534254796458,2.6789083686590386e-05,0.00012244280400284271,0.013394679415014989,9.77163955684334e-06,2.743845267861662e-07
0.2425,-0.07749711339826097,-0.09081296105507647,2.6292495552943642e-05,8.040175687597757e-05,0.013202474711971621,6.4100980998538675e-06,2.6859431510180376e-07
0.243,-0.07750267079259317,-0.0906363269690035,2.5924423662303886e-05,4.645672154389071e-05,0.013057313081207254,3.697836606747532e-06,2.641133901332103e-07
0.2435,-0.07750808674120882,-0.09051632888961907,2.5683994048157167e-05,2.1444662029712958e-05,0.012959150892203864,1.7016661812682826e-06,2.609339472377815e-07
0.244,-0.07751339259715481,-0.0904533911007006,2.5570184650017394e-05,5.901890962578966e-06,0.012907803079445257,4.6430217255584323e-07,2.5904631537446014e-07
0.2445,-0.0775186207072598,-0.09044747459445761,2.5581870975863336e-05,5.263423338012202e-08,0.012902957486157803,3.456240244471307e-09,2.584395905256501e-07
0.245,-0.0775238033774047,-0.0904980818149459,2.571784249874031e-05,3.807792100087828e-06,0.01294418195578305,3.1174518638739785e-07,2.5910197292651274e-07
0.2455,-0.07752897185861723,-0.0906042650466359,2.5976790295683116e-05,1.6773742314271697e-05,0.013030924230678156,1.357403924253045e-06,2.6102080629995083e-07
0.246,-0.0775341553860149,-0.09076463834577217,2.6357267593603538e-05,3.827071269315414e-05,0.013162505032658816,3.085764482296624e-06,2.641823294090564e-07
0.2465,-0.07753938030032133,-0.09097739288462534,2.6857625959759426e-05,6.735995357869874e-05,0.013338104994430831,5.421439172997033e-06,2.6857116172138546e-07
0.247,-0.07754466927847552,-0.09124031555251311,2.7475930829469253e-05,0.00010287867389979232,0.01355674637503414,8.271124718730314e-06,2.741695554545185e-07
0.2475,-0.07755004069585984,-0.09155081063274709,2.8209860870551352e-05,0.00014348147603822863,0.013817270717667139,1.1526925855917284e-05,2.8095645540786246e-07
0.248,-0.0775555081380362,-0.09190592435163614,2.9056596318698763e-05,0.00018768684097343025,0.014118313787631565,1.5070082260742202e-05,2.889064154968357e-07
0.2485,-0.0775610800747587,-0.09230237207451067,3.0012701860957892e-05,0.00023392708126698117,0.014458279256242703,1.8774971954763964e-05,2.979884265633042e-07
0.249,-0.07756675970359957,-0.09273656790457988,3.107400988472324e-05,0.0002806000986799396,0.014835312669778803,2.2513257923155147e-05,3.081647136874888e-07
0.2495,-0.0775725449649616,-0.09320465642342984,3.223550994228008e-05,0.0003261212571649767,0.015247277259162377,2.615804263584491e-05,3.193895627701509e-07
0.25,-0.07757842872473786,-0.09370254629723113,3.3491250106030696e-05,0.0003689737104330427,0.015691733106234337,2.9587897484279568e-05,3.316082355760682e-07
0.2505,-0.07758439911558868,-0.0942259454603469,3.483425551895442e-05,0.0004077556043138173,0.016165921088218488,3.2690640677201416e-05,3.447560297759299e-07
0.251,-0.07759044002290731,-0.09477039757809375,3.625646888934243e-05,0.0004412227041190769,0.016666752877054106,3.5366747587999596e-05,3.5875753590507474e-07
0.2515,-0.07759653169718377,-0.09533131948296385,3.774871696334283e-05,0.0004683251710909981,0.017190808080083327,3.753229150565783e-05,3.73526136765717e-07
0.252,-0.07760265147078266,-0.09590403927370529,3.930070615483181e-05,0.00048823742337774663,0.017734339379905158,3.912132969804457e-05,3.8896378684918704e-07
0.2525,-0.077608774554232,-0.09648383476429215,4.090104955278099e-05,0.0005003802583552924,0.01829328627200106,4.008766905088663e-05,4.0496110014172557e-07
0.253,-0.07761487488504897,-0.09706597196999214,4.2537326491909113e-05,0.0005044346762187625,0.018863297717833964,4.040596663402921e-05,4.2139776451061924e-07
0.2535,-0.07762092600096547,-0.0976457433204319,4.419617479812514e-05,0.0005003471207708916,0.019439763737946356,4.0072142660951274e-05,4.3814329009576306e-07
0.254,-0.0776269019091684,-0.09821850529472187,4.586341474263336e-05,0.0004883261331711435,0.020017855673829403,3.910310572218036e-05,4.550580881056524e-07
0.2545,-0.07763277792383916,-0.0987797151812699,4.752420269084662e-05,0.00046883068905390876,0.020592574558655853,3.753581216463556e-05,4.719948655087354e-07
0.255,-0.07763853144581741,-0.0993249666748004,4.9163211448958105e-05,0.0004425507501968571,0.021158806764663324,3.542570236318513e-05,4.888003106630215e-07
0.2555,-0.07764414266056253,-0.09985002403520302,5.0764833423220435e-05,0.00041038080074618953,0.02171138584769509,3.284457574071886e-05,5.05317035274262e-07
0.256,-0.07764959513365209,-0.10035085454704273,5.2313401942020525e-05,0.00037338734766535525,0.022245159294891938,2.9877983161793574e-05,5.213857295276113e-07
0.2565,-0.07765487628672815,-0.10082365903473642,5.379342547112132e-05,0.00033277153942033304,0.02275505870637608,2.662222926068324e-05,5.368474800419308e-07
0.257,-0.07765997774094975,-0.10126490020639223,5.518982899777312e-05,0.00028982819104355983,0.02323617181123128,2.3181087975183396e-05,5.515461946879245e-07
0.2575,-0.0776648955194925,-0.10167132861895355,5.648819658102114e-05,0.00024590259410836,0.02368381463593411,1.9662341763120234e-05,5.653310744365683e-07
