t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0,KE_cube1,PEel_cube1,KE_cube2,PEel_cube2
1.543,-0.20093199422599728,-0.22528395413538033,0.0006069254042752018,6.331030404783398e-14,0.023742082827191584,6.2355580280574106e-15,1.1756128396845054e-06,7.437355819240735e-15,1.079057045373315e-06,8.093723938603066e-15,6.970079461333665e-07
1.5435,-0.20093199422599808,-0.22528394692922965,0.0006069251488248424,5.844772797513327e-14,0.02374207587777842,5.753704456283147e-15,1.1756123446285276e-06,6.8607650738419e-15,1.07905657293969e-06,7.465326773513915e-15,6.970076321968481e-07
1.544,-0.20093199422599883,-0.22528394006411154,0.0006069249059379575,5.3054114342611135e-14,0.023742069256777742,5.219866613322739e-15,1.1756118720726103e-06,6.222375855894487e-15,1.079056121614636e-06,6.7697781744208196e-15,6.970073320744738e-07
1.5445,-0.20093199422599964,-0.22528393358409188,0.0006069246771694198,4.727637573730372e-14,0.023742063006692283,4.6485787798496326e-15,1.175611425058086e-06,5.5395634394521974e-15,1.079055694303432e-06,6.02600711340093e-15,6.970070477015805e-07
1.545,-0.20093199422600055,-0.22528392753025667,0.0006069244639654817,4.126955181541653e-14,0.023742057167154187,4.055163743905204e-15,1.175611006425967e-06,4.830638164265902e-15,1.079055293726917e-06,5.2539555797339155e-15,6.970067808912853e-07
1.5455,-0.2009319942260013,-0.22528392194045577,0.0006069242676548641,3.51924741487276e-14,0.02374205177467785,3.4553052672923124e-15,1.1756106188018914e-06,4.1143315987717984e-15,1.079054922402691e-06,4.474021227289381e-15,6.970065333218337e-07
1.546,-0.20093199422600214,-0.22528391684907123,0.0006069240894401146,2.9203398163436226e-14,0.023742046862436077,2.8646167101134214e-15,1.1756102645817426e-06,3.409283138600311e-15,1.0790545826289482e-06,3.70649687284278e-15,6.97006306523901e-07
1.5465,-0.20093199422600289,-0.22528391228681022,0.0006069239303909006,2.3455720714004628e-14,0.023742042460060717,2.298219076328245e-15,1.1756099459118646e-06,2.7335356870511877e-15,1.0790542764657535e-06,2.9710217526740606e-15,6.970061018786388e-07
1.547,-0.2009319942260035,-0.22528390828052555,0.0006069237914376823,1.809389770368133e-14,0.023742038593469097,1.7703382710541562e-15,1.1756096646787088e-06,2.1040559362880387e-15,1.079054005730225e-06,2.2860594344898594e-15,6.970059206042478e-07
1.5475,-0.20093199422600413,-0.22528390485306354,0.000606923673366213,1.324966955655828e-14,0.023742035284717217,1.2939340541369725e-15,1.1756094224980167e-06,1.5362919592883934e-15,1.0790537719858787e-06,1.6684155167349964e-15,6.970057637472353e-07
1.548,-0.20093199422600483,-0.22528390202314025,0.0006069235768135189,9.03869219276675e-15,0.023742032551880385,8.803689739466652e-16,1.1756092207073432e-06,1.0437772146994332e-15,1.0790535765278302e-06,1.1328096793500514e-15,6.97005632181545e-07
1.5485,-0.20093199422600544,-0.22528389980524732,0.0006069235022651674,5.557657828899489e-15,0.023742030408961966,5.391253122411915e-16,1.1756090603599209e-06,6.377955054307258e-16,1.0790534203786104e-06,6.915080154733382e-16,6.97005526601179e-07
1.549,-0.20093199422600602,-0.22528389820958694,0.0006069234500523976,2.881976153071549e-15,0.02374202886583066,2.7757840861528376e-16,1.1756089422127555e-06,3.2711017899377086e-16,1.0790533042890673e-06,3.540312563979421e-16,6.970054475176069e-07
1.5495,-0.2009319942260066,-0.2252838972420369,0.0006069234203517432,1.0640698033308541e-15,0.023742027928186447,1.0083009362844501e-16,1.1756088667336457e-06,1.1776743116768301e-16,1.0790532287296646e-06,1.2693949588100303e-16,6.97005395255598e-07
1.55,-0.20093199422600733,-0.22528389690414524,0.0006069234131845726,1.3232048249712274e-16,0.02374202759755522,1.160695214513485e-17,1.175608834094266e-06,1.2975240625092547e-17,1.079053193888613e-06,1.3702080257461686e-17,6.97005369956595e-07
1.5505,-0.2009319942260079,-0.2252838971931544,0.0006069234284189362,9.068384567480519e-17,0.023742027871311976,1.0224208939608411e-17,1.1756088441732336e-06,1.3062015356967734e-17,1.079053199676129e-06,1.4653021117562262e-17,6.970053715755274e-07
1.551,-0.20093199422600846,-0.22528389810205468,0.000606923465770761,9.189728231399233e-16,0.02374202874273202,9.461579053193607e-17,1.175608896558094e-06,1.1551371261530906e-16,1.079053245725773e-06,1.2703189812458387e-16,6.970053998861182e-07
1.5515,-0.20093199422600902,-0.22528389961966633,0.0006069235248075395,2.5737911983081826e-15,0.023742030201069842,2.604283746023867e-16,1.1756089905525548e-06,3.1508739432664705e-16,1.0790533314004335e-06,3.451082632928679e-16,6.970054544792325e-07
1.552,-0.2009319942260096,-0.2252839017307492,0.0006069236049524499,4.990081461545758e-15,0.023742032231664618,5.011759916884558e-16,1.17560912517953e-06,6.039973374341854e-16,1.0790534557992573e-06,6.603844314973239e-16,6.970055347719028e-07
1.5525,-0.2009319942260103,-0.22528390441613919,0.0006069237054893057,8.08323526282051e-15,0.023742034816071695,8.084500831162323e-16,1.175609299194485e-06,9.721665312557035e-16,1.0790536177612482e-06,1.0618703635802377e-15,6.970056400115238e-07
1.553,-0.2009319942260108,-0.22528390765291065,0.0006069238255689789,1.1751700336325706e-14,0.023742037932218744,1.1721784248508977e-15,1.17560951109561e-06,1.4075361912532565e-15,1.0790538158798803e-06,1.5364214848010644e-15,6.970057692786398e-07
1.5535,-0.20093199422601138,-0.22528391141456283,0.0006069239642154549,1.588000520109553e-14,0.0237420415545854,1.5809245731132084e-15,1.1756097591324249e-06,1.8964255425704235e-15,1.0790540485129978e-06,2.069129286055586e-15,6.970059215004112e-07
1.554,-0.2009319942260121,-0.2252839156712293,0.0006069241203342013,2.034211242870739e-14,0.023742045654404978,2.0222196844564776e-15,1.1756100413242147e-06,2.4239276837656046e-15,1.0790543137966713e-06,2.643754132043645e-15,6.97006095454012e-07
1.5545,-0.20093199422601277,-0.2252839203899085,0.0006069242927203934,2.500500541148555e-14,0.02374205019988673,2.4829176328360592e-15,1.1756103554724483e-06,2.974333749961043e-15,1.0790546096616443e-06,3.243186387808163e-15,6.970062897777362e-07
