t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0,KE_cube1,PEel_cube1,KE_cube2,PEel_cube2
0.967,3.0657068666653213,3.0412460894999636,0.0006069276906642021,8.761743156737068e-10,0.023758999402452515,9.035561003602243e-11,6.77500062028627e-05,1.1326176153896729e-10,2.4389107987298794e-05,1.2602453377599462e-10,2.7097522345650028e-06
0.9675,3.065706866631863,3.041247091139546,0.0006068902078898219,1.1112625070103879e-09,0.02375804081667431,1.1445290865267545e-10,6.774581743709402e-05,1.4335963493267746e-10,2.438754611937272e-05,1.5946024744582603e-10,2.70957566133064e-06
0.968,3.065706866597789,3.041248197180724,0.0006068489496051042,1.3553778269300256e-09,0.023756982188764,1.3945307865621947e-10,6.774120676243997e-05,1.7456857271443902e-10,2.4385827083799656e-05,1.9412199446955944e-10,2.7093813281876266e-06
0.9685,3.0657068665630827,3.0412493993029783,0.0006068042256101759,1.6014655516948626e-09,0.023755831490117146,1.6463401325248263e-10,6.773620879945962e-05,2.0598741318605192e-10,2.4383963787607075e-05,2.2900905114752678e-10,2.709170694197916e-06
0.969,3.0657068665277567,3.0412506886028057,0.0006067563666533235,1.8425336383224036e-09,0.02375459725079192,1.892805901887439e-10,6.773086050942597e-05,2.3672413310527e-10,2.43819700101993e-05,2.631310509224893e-10,2.7089453170213376e-06
0.9695,3.0657068664918428,3.041252055658621,0.0006067057220158064,2.0718397920453085e-09,0.023753288497140205,2.1270379498027745e-10,6.772520092501204e-05,2.6591969263659954e-10,2.437986030189822e-05,2.95534455093155e-10,2.7087068413954044e-06
0.97,3.0657068664553977,3.041253490598656,0.0006066526569898921,2.2830688196884244e-09,0.023751914686591147,2.3425883514382495e-10,6.77192708680709e-05,2.9277061755262484e-10,2.437764987942912e-05,3.253276156444759e-10,2.708456987341213e-06
0.9705,3.0657068664184997,3.0412549831713482,0.0006065975502717645,2.4704956532439165e-09,0.0237504856400558,2.5336177591876175e-10,6.771311265797889e-05,3.165497150213486e-10,2.4375354516943575e-05,3.5170376153045147e-10,2.7081975378845603e-06
0.971,3.0657068663812423,3.0412565228177324,0.000606540791283208,2.629129887809382e-09,0.023749011472433215,2.6950427114576617e-10,6.77067698126994e-05,3.3662441775340373e-10,2.4372990434553538e-05,3.739613446969512e-10,2.7079303263918167e-06
0.9715,3.065706866343738,3.0412580987453364,0.0006064827774442956,2.754838241698699e-09,0.02374750252170699,2.822660270361224e-10,6.770028674423025e-05,3.524722768788617e-10,2.4370574184877737e-05,3.915212223865635e-10,2.7076572238159725e-06
0.972,3.0657068663061104,3.0412597000030543,0.0006064239114161709,2.844441998114315e-09,0.023745969277126112,2.913246952313518e-10,6.769370845009144e-05,3.6369325427944337e-10,2.4368122538050464e-05,4.039402700114653e-10,2.7073801255760645e-06
0.9725,3.0657068662684903,3.0412613155564947,0.0006063645983315067,2.8957872075758655e-09,0.02374442230696558,2.964629727260302e-10,6.7687080203976e-05,3.700185191925742e-10,2.4365652366327016e-05,4.1092112434691367e-10,2.707100938610006e-06
0.973,3.065706866231013,3.041262934363284,0.0006063052430318275,2.907786198739386e-09,0.023742872186360467,2.975727647672339e-10,6.768044724688165e-05,3.7131557643850607e-10,2.4363180529319325e-05,4.1231784480731453e-10,2.7068215684378597e-06
0.9735,3.0657068661938194,3.041264545447827,0.0006062462473302002,2.880429740732227e-09,0.023741329425701826,2.9465634062344647e-10,6.767385448126081e-05,3.6758964405523183e-10,2.4360723759618512e-05,4.0813741040882315e-10,2.7065439061214112e-06
0.974,3.0657068661570386,3.0412661379749957,0.000606188007319013,2.8147699995949154e-09,0.02373980440007417,2.878245025102987e-10,6.766734617039274e-05,3.5898130666195744e-10,2.43582985508133e-05,3.9853708223045796e-10,2.7062698157734916e-06
0.9745,3.065706866120803,3.0412677013223024,0.0006061309107378494,2.712875215050904e-09,0.02373830728020303,2.772918674565701e-10,6.766096564419491e-05,3.4576056106533787e-10,2.4355921048244058e-05,3.838177604490052e-10,2.7060011219794997e-06
0.975,3.0657068660852294,3.0412692251500264,0.0006060753344248072,2.5777577701915603e-09,0.023736847965365758,2.6336942494343983e-10,6.765475501415536e-05,3.2831747823217007e-10,2.4353606942193084e-05,3.6441358618249634e-10,2.705739597980022e-06
0.9755,3.0657068660504234,3.041270699468885,0.0006060216418569921,2.4132780143541747e-09,0.023735436018701855,2.46454628802742e-10,6.764875489834643e-05,3.071497848067047e-10,2.4351371366443905e-05,3.4087812872246934e-10,2.7054869539765424e-06
0.976,3.065706866016475,3.0412721147047805,0.0006059701808082446,2.224026815443883e-09,0.023734080605338163,2.2701931747819626e-10,6.764300416041582e-05,2.8284774545767236e-10,2.434922879974988e-05,3.1386757889824035e-10,2.705244826228914e-06
0.9765,3.065706865983456,3.0412734617602197,0.0006059212811287278,2.0151903418088883e-09,0.023732790433721646,2.055958265239651e-10,6.76375396608112e-05,2.560768021694047e-10,2.434719297426836e-05,2.8412144724744556e-10,2.70501476645328e-06
0.977,3.065706865951419,3.041274732072017,0.0006058752526668367,1.7924009950171312e-09,0.023731573700527274,1.8276169891318212e-10,6.763239602469835e-05,2.2755846754753397e-10,2.4345276788448757e-05,2.5244133636562e-10,2.7047982322050276e-06
