t,total,PE_grav,PE_contact,KE_slab,PEel_slab,KE_cube0,PEel_cube0
1.541,0.4221459907663211,0.4028420059073827,4.330617538202715e-05,1.150112605155564e-15,0.019257971948023308,9.296624123959268e-17,2.7067355317920348e-06
1.5415,0.422145990766321,0.4028420048400362,4.330617852947242e-05,1.6949626454574028e-15,0.019257973012024723,1.3689495535210371e-16,2.706735728737216e-06
1.542,0.422145990766321,0.40284200359497,4.3306182181575484e-05,2.306471603933773e-15,0.019257974253209544,1.8617626036298642e-16,2.7067359573275995e-06
1.5425,0.4221459907663208,0.4028420021839051,4.330618630421265e-05,2.9625627045218837e-15,0.019257975659892984,2.390319471452409e-16,2.706736215324991e-06
1.543,0.4221459907663208,0.40284200061978626,4.330619085965591e-05,3.640167094317571e-15,0.019257977219170507,2.936036352075095e-16,2.7067365004095088e-06
1.5435,0.4221459907663207,0.4028419989166656,4.3306195807052804e-05,4.315979961537247e-15,0.01925797891703336,3.480146198191721e-16,2.7067368100162137e-06
1.544,0.42214599076632064,0.4028419970895791,4.3306201102855304e-05,4.967209942683585e-15,0.019257980738491838,4.0043058049037273e-16,2.706737141465805e-06
1.5445,0.4221459907663205,0.4028419951544162,4.330620670111075e-05,5.572297935223686e-15,0.019257982667705325,4.491164098752655e-16,2.7067374918175854e-06
1.545,0.4221459907663205,0.40284199312778385,4.3306212553972444e-05,6.111582482819414e-15,0.019257984688117916,4.924909105691506e-16,2.706737858098184e-06
1.5455,0.42214599076632037,0.4028419910268657,4.3306218611873174e-05,6.567892310598631e-15,0.019257986782598477,5.291730194469898e-16,2.7067382372198685e-06
1.546,0.42214599076632026,0.40284198886927863,4.330622482411236e-05,6.927047402582145e-15,0.01925798893358404,5.580224062636174e-16,2.706738625964207e-06
1.5465,0.42214599076632014,0.40284198667292687,4.330623113918784e-05,7.178255020744422e-15,0.019257991123225182,5.781731075079072e-16,2.706739021161779e-06
1.547,0.4221459907663201,0.4028419844558549,4.330623750524522e-05,7.314390316847293e-15,0.019257993333532463,5.890534446589595e-16,2.7067394195451396e-06
1.5475,0.42214599076632003,0.40284198223610107,4.330624387061896e-05,7.332153780151467e-15,0.01925799554652249,5.904009431693828e-16,2.7067398179121924e-06
1.548,0.42214599076631987,0.40284198003155247,4.330625018400598e-05,7.232103906997596e-15,0.019257997744362564,5.822627021019099e-16,2.7067402130281655e-06
1.5485,0.42214599076631976,0.4028419778598025,4.330625639519063e-05,7.018565408601825e-15,0.019257999909512727,5.649900602671619e-16,2.7067406017236343e-06
1.549,0.4221459907663197,0.4028419757380122,4.3306262455192706e-05,6.699419296963431e-15,0.01925800202486409,5.39220593883108e-16,2.7067409809762083e-06
1.5495,0.4221459907663196,0.40284197368277586,4.330626831675758e-05,6.285783069472699e-15,0.019258004073872396,5.058511851325497e-16,2.7067413477634977e-06
1.55,0.42214599076631953,0.4028419717099937,4.3306273934524703e-05,5.791593316845437e-15,0.01925800604068574,4.660053156771808e-16,2.706741699340843e-06
1.5505,0.4221459907663195,0.4028419698347497,4.3306279265691235e-05,5.233106226752822e-15,0.019258007910265468,4.209940589349435e-16,2.7067420329635867e-06
1.551,0.42214599076631937,0.4028419680711988,4.3306284270037626e-05,4.628333859037039e-15,0.019258009668499398,3.722683363129277e-16,2.7067423461484632e-06
1.5515,0.4221459907663193,0.4028419664324615,4.3306288910443226e-05,3.996434558219864e-15,0.019258011302306526,3.2137186759365795e-16,2.7067426365592445e-06
1.552,0.42214599076631926,0.40284196493052815,4.3306293153054784e-05,3.35707862985531e-15,0.01925801279973233,2.69888641062929e-16,2.7067429020557477e-06
1.5525,0.4221459907663192,0.40284196357617363,4.330629696756209e-05,2.729809711980437e-15,0.019258014150034274,2.193922133246352e-16,2.706743140775525e-06
1.553,0.4221459907663191,0.40284196237888187,4.330630032736141e-05,2.1334223168031923e-15,0.01925801534375655,1.7139536749089579e-16,2.706743351035835e-06
1.5535,0.42214599076631903,0.4028419613467823,4.330630320976986e-05,1.5853751997344819e-15,0.01925801637279389,1.2730255211565864e-16,2.7067435313989986e-06
1.554,0.4221459907663189,0.4028419604865971,4.3306305596147964e-05,1.1012585647766572e-15,0.01925801723044383,8.836795762050545e-17,2.706743680705067e-06
1.5545,0.4221459907663189,0.4028419598036009,4.330630747203239e-05,6.943313467743657e-16,0.01925801791144718,5.565758989523205e-17,2.706743798104502e-06
1.555,0.42214599076631887,0.4028419593015917,4.330630882724824e-05,3.7514166372240965e-16,0.019258018412016544,3.001876113848292e-17,2.706743882927474e-06
1.5555,0.4221459907663188,0.4028419589828752,4.3306309655960136e-05,1.5124121628760958e-16,0.019258018729852697,1.2057390483203273e-17,2.7067439347818883e-06
1.556,0.42214599076631876,0.40284195884825985,4.33063099564527e-05,2.7000938966235672e-17,0.019258018864148827,2.123101398430643e-18,2.706743953569719e-06
1.5565,0.42214599076631876,0.40284195889706514,4.330630973137045e-05,3.531790468762459e-18,0.01925801881558272,3.0317867539694355e-19,2.7067439394870144e-06
1.557,0.4221459907663186,0.40284195912714094,4.330630898760555e-05,7.871138135891905e-17,0.019258018586297065,6.424445824966369e-18,2.7067438929258674e-06
1.5575,0.42214599076631865,0.40284195953489943,4.330630773609355e-05,2.4731334563965907e-16,0.01925801817986824,2.006392338717347e-17,2.706743814605119e-06
1.558,0.4221459907663186,0.4028419601153571,4.330630599176746e-05,5.01233534927433e-16,0.019258017601263746,4.056718506666126e-17,2.7067437054396545e-06
1.5585,0.42214599076631854,0.40284196086218876,4.330630377333312e-05,8.298038829943635e-16,0.019258016856788893,6.707355159418848e-17,2.706743566622095e-06
1.559,0.4221459907663184,0.40284196176779097,4.330630110332022e-05,1.2201822661912638e-15,0.01925801595402331,9.85472502258257e-17,2.7067433994920976e-06
1.5595,0.42214599076631837,0.4028419628233557,4.330629800743395e-05,1.6578042778034912e-15,0.019258014901747698,1.3381467156203474e-16,2.7067432057324e-06
1.56,0.4221459907663183,0.40284196401895256,4.3306294514590756e-05,2.126881742442804e-15,0.019258013709861695,1.7160406032009796e-16,2.7067429871727765e-06
1.5605,0.42214599076631826,0.4028419653436194,4.330629065686725e-05,2.6109306976819846e-15,0.019258012389293443,2.1058707441568027e-16,2.706742745757362e-06
1.561,0.4221459907663182,0.4028419667854607,4.3306286468673146e-05,3.0933112246728057e-15,0.01925801095190188,2.4942451772924144e-16,2.7067424836426743e-06
1.5615,0.42214599076631815,0.4028419683317519,4.3306281986899355e-05,3.5577627245196176e-15,0.019258009410372322,2.868070983636031e-16,2.706742203164943e-06
1.562,0.42214599076631804,0.40284196996905003,4.330627725047377e-05,3.988916054995701e-15,0.01925800777810651,3.2149783847600636e-16,2.706741906742081e-06
1.5625,0.42214599076631804,0.40284197168330854,4.3306272299947776e-05,4.372767856100195e-15,0.019258006069107922,3.5237010583697316e-16,2.7067415969390376e-06
1.563,0.422145990766318,0.4028419734599961,4.330626717715929e-05,4.697102062165e-15,0.019258004297863295,3.7844231388631306e-16,2.7067412763370993e-06
1.5635000000000001,0.42214599076631787,0.4028419752842184,4.330626192501832e-05,4.951846491619571e-15,0.019258002479221454,3.989042689356081e-16,2.7067409476482477e-06
1.564,0.42214599076631776,0.40284197714084136,4.3306256586965815e-05,5.129353454913696e-15,0.019258000628270343,4.1314247246587165e-16,2.7067406135844664e-06
1.5645,0.42214599076631776,0.40284197901461505,4.3306251206876666e-05,5.224598329888195e-15,0.019257998760213314,4.207533175117568e-16,2.706740276874074e-06
1.565,0.4221459907663177,0.4028419808902976,4.330624582836029e-05,5.235289719488906e-15,0.019257996890245738,4.2155511191142953e-16,2.706739940310737e-06
1.5655000000000001,0.42214599076631765,0.40284198275277805,4.3306240494775904e-05,5.161890824198853e-15,0.019257995033432763,4.155865644170171e-16,2.7067396065084135e-06
1.566,0.42214599076631754,0.4028419845871961,4.3306235248477005e-05,5.007551767105442e-15,0.019257993204589364,4.0310352826806544e-16,2.7067392781954196e-06
1.5665,0.42214599076631754,0.40284198637906,4.330623013091853e-05,4.777957886290852e-15,0.019257991418163502,3.845656295655451e-16,2.7067389579367003e-06
1.567,0.4221459907663175,0.402841988114359,4.33062251820136e-05,4.481099301503184e-15,0.0192579896881234,3.6061707657542373e-16,2.7067386482155117e-06
1.5675000000000001,0.42214599076631737,0.4028419897796717,4.330622043995489e-05,4.126971568650325e-15,0.019257988027849764,3.3206463760404086e-16,2.7067383514661004e-06
1.568,0.4221459907663173,0.40284199136226867,4.330621594098479e-05,3.727217825310591e-15,0.01925798645003369,2.99846521774656e-16,2.706738069926663e-06
