scene,s,arm,iterations,w_r,w_row,L,a_tilde,rho,v,dE_pred,dE_meas,dE_be,modal_ke,modal_pe,reldiff_sym,reldiff_be,sign_agree,sign_agree_be,band,passive_meas,passive_be,n_contacts,n_active_support,valid,runner_gap,preflight_res,preflight_ok,r1_ok,r1_res,e_modal_trail_peak,reason,wall_s
ledge,1e-07,implicit,1,0.07514061126615987,0.32590166674293986,0.013838435312738085,0.000144,0.0405088385431028,-1.0,-1.534204803145133,1.792130755862921,-1.5784574559771904,4.494117615786817,0.011658114265050933,2.1681170285668756,0.02884403225784404,,,False,False,True,0,1,True,50.001,2.541098841762901e-21,True,,,4.213130397997152,,0.007926249993033707
ledge,7.498942093324558e-07,implicit,1,0.07514061126615987,0.3027495171361354,0.10377362507244066,0.000144,0.30377343450256195,-1.0,-1.6515299238797727,1.6158962947991355,-1.7251740539796323,4.4547604650383565,0.053125654067814373,1.978423867127441,0.044591459733805405,,,False,False,True,0,1,True,50.001,0.0,True,,,4.19641394921777,,0.007983417017385364
ledge,5.623413251903491e-06,implicit,1,0.07514061126615987,0.25967595332814464,0.7781924052326061,0.000144,2.2779793948250324,-1.0,-1.9254761174699382,1.4257151290476884,-2.0009798737064166,4.568926670338806,0.14908137607068334,1.7404480980636976,0.039213031806226616,,,False,False,True,0,1,True,50.001,8.470329472543003e-21,True,,,4.925489102451299,,0.007855458068661392
ledge,4.216965034285822e-05,implicit,1,0.07514061126615987,0.2069743199467685,5.835619784304271,0.000144,17.082435571579435,-1.0,-2.4157574642061705,1.1779291539386882,-2.4661215913395473,4.858734327037647,0.27159220955285257,1.487602406860724,0.020848172003859123,,,False,False,True,0,1,True,50.001,8.470329472543003e-22,True,,,6.571840398891474,,0.008085416979156435
ledge,0.00031622776601683794,implicit,1,0.07514061126615987,0.1635963214524695,43.76097484115687,0.000144,128.1001951642218,-1.0,-3.056301076040843,0.8553268602110045,-3.0781753341117444,5.244669592430331,0.3166956807754404,1.279856872386081,0.007157101845227099,,,False,False,True,0,1,True,50.001,8.470329472543003e-22,True,,,6.721641922826773,,0.007844749954529107
ledge,0.0023713737056616554,implicit,1,0.07514061126615987,0.1303361211251288,328.16101628126836,0.000144,960.6159456800741,-1.0,-3.836230407190122,-0.38856122217834255,-3.8486749765386357,4.6134850058137244,0.45547627612313113,0.8987127515985289,0.0032439577469562607,,,False,True,True,0,1,True,50.001,8.470329472543003e-22,True,,,5.76002184573524,,0.007947750040329993
ledge,0.01778279410038923,implicit,1,0.07514061126615987,0.10184200705656321,2460.860458379769,0.000144,7203.603350579086,-1.0,-4.909555669980355,-2.936886021758717,-4.917331981919908,2.640594613548257,0.6164167304842864,0.40180207351219044,0.0015839135885761732,,,False,True,True,0,1,True,50.001,8.470329472543003e-22,True,,,3.308439102196242,,0.007886125007644296
ledge,0.1333521432163324,implicit,1,0.07514061126615987,0.08197057054750098,18453.850077142015,0.000144,54019.404389271316,-1.0,-6.099731391655034,-5.874911567862174,-6.10341598139577,0.3046725513781303,0.4284233759122568,0.036857331799959744,0.0006040577042092189,,,False,True,True,0,1,True,50.001,8.470329472543003e-22,True,,,0.7200160959348209,,0.007898790994659066
ledge,1.0,implicit,1,0.07514061126615987,0.07619242236116062,138384.3531273809,0.000144,405088.3854310281,-1.0,-6.562309023367896,-6.558471955030608,-6.564877666674242,0.008540948858180328,0.08797297144975161,0.0005847131434414595,0.0003914237042479024,,,False,True,True,0,1,True,50.001,0.0,True,True,0.0,0.09575537172346048,,0.007863542065024376
ledge,1e-07,mass,1,0.07514061126615987,0.3413272081974287,0.013838435312738085,0.000144,0.0405088385431028,-1.0,-1.4055296029477011,2.018744263290042,-1.405535669074986,4.565706576486705,0.05934017325069172,2.4362872607281245,4.315901473871218e-06,False,True,False,,,0,1,True,50.001,2.541098841762901e-21,True,,,4.237940095787019,,0.008443833095952868
ledge,7.498942093324558e-07,mass,1,0.07514061126615987,0.3413272081974287,0.10377362507244066,0.000144,0.30377343450256195,-1.0,-1.0198812531836081,2.404392613054135,-1.019887319310893,4.565706576486705,0.4449885230147841,3.3575221189218927,5.947876055173977e-06,False,True,False,,,0,1,True,50.001,0.0,True,,,4.358193246730835,,0.008167874999344349
ledge,5.623413251903491e-06,mass,1,0.07514061126615987,0.3413272081974287,0.7781924052326061,0.000144,2.2779793948250324,-1.0,1.872073390083503,5.296347256321237,1.872067323956209,4.565706576486705,3.3369431662818885,1.8291344155503413,3.2403255802727173e-06,True,True,False,,,0,1,True,50.001,8.470329472543003e-21,True,,,5.504859610787152,,0.008013042039237916
ledge,4.216965034285822e-05,mass,1,0.07514061126615987,0.3413272081974287,5.835619784304271,0.000144,17.082435571579435,-1.0,23.558673796464642,26.98294766270233,23.558667730337305,4.565706576486705,25.02354357266298,0.1453508756826352,2.5749018767959926e-07,True,True,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,15.937523971072622,,0.008084041997790337
ledge,0.00031622776601683794,mass,1,0.07514061126615987,0.3413272081974287,43.76097484115687,0.000144,128.1001951642218,-1.0,186.18523444498567,189.609508311223,186.18522837885797,4.565706576486705,187.65010422118365,0.01839175848957643,3.258114272187706e-08,True,True,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,29.436452344788183,,0.007963208016008139
ledge,0.0023713737056616554,mass,1,0.07514061126615987,0.3413272081974287,328.16101628126836,0.000144,960.6159456800741,-1.0,1405.7123955847792,1409.1366694510139,1405.712389518649,4.565706576486705,1407.1772653609746,0.0024359704566809105,4.315342365312604e-09,True,True,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,898.3210581655364,,0.008002124959602952
ledge,0.01778279410038923,mass,1,0.07514061126615987,0.3413272081974287,2460.860458379769,0.000144,7203.603350579086,-1.0,10550.87595820858,10554.300232074796,10550.87595214243,4.565706576486705,10552.340827984757,0.0003245487748865005,5.749427445552534e-10,True,True,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,6829.930619003166,,0.007958750007674098
ledge,0.1333521432163324,mass,1,0.07514061126615987,0.3413272081974287,18453.850077142015,0.000144,54019.404389271316,-1.0,79129.92794830617,79133.35222217225,79129.92794223988,4.565706576486705,79131.39281808221,4.3274067787856985e-05,7.666234713423115e-11,True,True,False,,,0,1,True,50.001,8.470329472543003e-22,True,,,96495.93813621008,,0.007942333002574742
ledge,1.0,mass,1,0.07514061126615987,0.3413272081974287,138384.3531273809,0.000144,405088.3854310281,-1.0,593400.2676371423,593403.6919110073,593400.2676310749,4.565706576486705,593401.7325069172,5.770597102329074e-06,1.0224886116849874e-11,True,True,False,,,0,1,True,50.001,0.0,True,True,0.0,967497.5611324213,,0.007911207969300449
shelf,1e-07,implicit,1,0.9261105482149443,3.4364405830331464,0.0232886503403291,0.000144,0.006651377112213019,-1.0,-0.1454993872411981,0.1672609983643607,-0.14676945456925106,0.41870727057814905,0.00033394592559440206,2.1495649674942467,0.008729021833937596,,,False,False,True,0,1,True,50.001,4.235164736271502e-21,True,,,0.41349267611467216,,0.008404250023886561
shelf,7.498942093324558e-07,implicit,1,0.9261105482149443,3.3852988964715216,0.17464024033381123,0.000144,0.04987829180534977,-1.0,-0.14769744545054256,0.168358486300896,-0.1486397037926328,0.4226642534580388,0.000676782007424318,2.139887597834398,0.006379652262880658,,,False,False,True,0,1,True,50.001,1.7787691892340307e-20,True,,,0.42085910990934805,,0.008424666011705995
shelf,5.623413251903491e-06,implicit,1,0.9261105482149443,3.324601719657143,1.309617049427534,0.000144,0.3740344219622627,-1.0,-0.1503939542910472,0.16756516180220515,-0.1511563916318477,0.4249620712454043,0.0014897192609035854,2.1141748522545503,0.005069600998222194,,,False,False,True,0,1,True,50.001,9.317362419797304e-21,True,,,0.4216708881095974,,0.00856337498407811
shelf,4.216965034285822e-05,implicit,1,0.9261105482149443,3.1524056270143195,9.820742418087642,0.000144,2.804862471205131,-1.0,-0.1586090300918373,0.15089532504176173,-0.15993505682589593,0.4144405091568771,0.0070694725220529775,1.9513665454885563,0.008360348293478849,,,False,False,True,0,1,True,50.001,1.2705494208814505e-20,True,,,0.5541413081869532,,0.008456167066469789
