block,trial,n_modes,coupled_K,kappa,h,v,w_r,a_tilde,w_modal,uGu,dE,dE_pred
B_matched,792,5,0,2.0,0.0008239941915935171,-0.35298526413799974,0.06128083360192157,0.0,0.1104328945015435,0.11043289450154352,-0.36280907203731916,-0.3628090720373193
B_matched,793,6,0,0.9648662921540747,0.0014742494594391074,-2.2518956193108917,0.006314051118707549,0.0002011526157588018,37.397877706507785,37.39787770650779,-0.06778697308828896,-0.06778697308826322
B_matched,794,1,0,1.3797410818222948,0.00045701745475458294,-0.03301123410958318,0.0014982343114389876,0.0,0.002774697127238857,0.002774697127238857,-0.12751685734687357,-0.12751685734687362
B_matched,795,6,0,1.0663249014850924,0.001714975525449506,-3.0996882453774095,6.486525844733224,0.0,26.393800681787805,26.393800681787805,-0.14610662717690903,-0.1461066271769091
B_matched,796,7,1,0.4569718947249599,0.0038073859103122617,-0.22564090731544673,0.0048754015664007454,0.0,8.843228802623782,8.843228802623509,-0.0028771032686307763,-0.0028771032686316493
B_matched,797,8,0,3.3605230463600635,0.00035429756889921376,-1.611144385646948,0.3042374154141437,0.0,0.4960565463197284,0.4960565463197284,-1.6217704715513515,-1.6217704715513515
B_matched,798,5,1,1.4996514803344547,0.002920572145688834,-0.05603808435393232,0.1803349113504136,7.02591928659194e-05,0.04010637938813655,0.04010637938813652,-0.007122682344907982,-0.007122682344907982
B_matched,799,8,0,2.0,0.0006924534280319557,-0.016417579227301363,0.003749800664855017,1.671127229759029e-06,206.60496179656914,206.60496179656917,-6.522883415696623e-07,-6.522883415733127e-07
B_matched,800,4,1,3.392963555353743,0.0019881824764082802,-0.4519123240201398,4.1618064447730125,0.01020572365579683,27.076779634051018,27.07677963405102,-0.00326878953967975,-0.0032687895396797456
B_matched,801,8,1,2.0,0.011075311554035667,-0.5420568717034102,0.006814092075611706,0.19266318936873214,2.985545212278553,2.985545212278599,-0.04891633814425589,-0.04891633814426013
B_matched,802,5,0,3.624917313429389,0.00606034678748235,-0.1999215261290183,0.0015003852315868759,0.0,0.02686904967096339,0.02686904967096339,-0.7044309614740136,-0.7044309614740119
B_matched,803,4,0,2.0,0.014353498040578137,-5.6831813839833405,0.0026394722458266237,4.926975783589524e-05,4.713661454157875,4.713661454157875,-3.4241401411545667,-3.424140141154911
B_matched,804,1,0,1.0,0.010119616246229483,-2.848540336259223,0.004378850783500524,0.0,12.461575893554349,12.461575893554349,-0.3254536942300774,-0.32545369422993226
B_matched,805,2,1,2.0,0.00377379364916852,-6.893894084941416,0.10717757129347533,0.0005678728046672557,0.00031404598350534405,0.00031404598350534405,-221.0612526795749,-221.0612526795749
B_matched,806,8,1,3.0770669047266055,0.0010080661236247291,-0.8539365202360448,0.9392550869497042,0.0,1.7832915463055148,1.7832915463055152,-0.1339201267823586,-0.1339201267823586
B_matched,807,8,1,2.0,0.0007231002849167349,-0.03346383792167928,1.118333665968298,0.0,82.70490172890096,82.70490172890077,-6.6797018939511585e-06,-6.679701893951016e-06
B_matched,808,3,0,0.9072461315398214,0.0008160613459979955,-0.0389016115086661,0.0031089624970742366,0.0,0.22955979825790468,0.22955979825790465,-0.0032521241207040807,-0.003252124120704069
B_matched,809,3,1,1.0,0.0038000999869737162,-0.674510951499628,0.004813320098544821,0.0,11.034752529936581,11.03475252993659,-0.020606110325047666,-0.020606110325048967
B_matched,810,3,0,1.0,0.00045735049004897783,-0.11133268101291395,0.0010326852987767366,0.0,0.5322021291694662,0.5322021291694662,-0.011622427423351844,-0.011622427423351818
B_matched,811,8,1,2.745455350302239,0.0010889264498325957,-0.3971489535676623,0.5737439651781855,0.003371304241235843,3.503921401567112,3.5039214015671094,-0.019340378561856345,-0.01934037856185633
B_matched,812,3,0,3.678257501991459,0.0191445110835627,-7.7114431828722925,0.03594744791436457,0.0,0.13923027897884208,0.13923027897884208,-169.73149788306125,-169.7314978830612
B_matched,813,2,1,3.667291521187204,0.0009914460890302443,-7.69804970162662,0.40170100511748164,0.0,0.04153270397770358,0.04153270397770358,-66.8495739298424,-66.8495739298424
B_matched,814,1,0,1.0,0.0005910175140817585,-0.011635902970417797,0.0017480692290566852,0.00010234002220663372,1.501101756115952e-06,1.5011017561159522e-06,-0.03857540295344364,-0.03857540295344365
B_matched,815,4,0,0.4707181999598827,0.0009328668184159708,-1.2477137663123994,0.010714744442068139,0.0,24.845540157604695,24.8455401576047,-0.03131585286641325,-0.031315852866420364
B_matched,816,2,0,1.7174744336045644,0.0006185767627321159,-5.567528114460677,0.2987809046761712,0.0008437304222389172,2.824150025930327,2.824150025930327,-4.962864650662262,-4.9628646506622704
