variant,N,m,k,w_r,w_m,L,rho,dE_mass,dE_impl,y,y_theory,w_eff,dE_mass_form,dE_impl_form,sign_agree
i_single,1,1.0,928317.7667225555,1.0,2.0,0.9283177667225555,0.46415888336127775,-0.13396027915968056,-0.32925350326320213,-0.5358411166387222,-0.5358411166387222,1.5185867273834432,-0.13396027915968056,-0.32925350326320213,True
i_single,1,1.0,1362584.1381159222,1.0,2.0,1.362584138115922,0.681292069057961,-0.07967698273550972,-0.3513048359645944,-0.31870793094203886,-0.318707930942039,1.4232653491009488,-0.07967698273550972,-0.3513048359645944,True
i_single,1,1.0,2000000.0,1.0,2.0,2.0,1.0,0.0,-0.375,0.0,0.0,1.3333333333333333,0.0,-0.375,band
i_single,1,1.0,2935598.535244138,1.0,2.0,2.935598535244138,1.467799267622069,0.1169498169055172,-0.3986951640354055,0.4677992676220688,0.467799267622069,1.2540909574604175,0.1169498169055172,-0.39869516403540556,True
i_single,1,1.0,4308869.380063764,1.0,2.0,4.308869380063763,2.1544346900318816,0.2886086725079705,-0.42074649673679776,1.154434690031882,1.1544346900318816,1.188364024128239,0.2886086725079704,-0.4207464967367978,True
i_single,1,1.0,6324555.320336759,1.0,2.0,6.324555320336759,3.1622776601683795,0.540569415042095,-0.4399367316619895,2.16227766016838,2.1622776601683795,1.1365270594958143,0.540569415042095,-0.43993673166198943,True
i_single,1,1.0,9283177.667225555,1.0,2.0,9.283177667225555,4.6415888336127775,0.9103972084031944,-0.4556862424091434,3.6415888336127775,3.6415888336127775,1.097246204661735,0.9103972084031944,-0.4556862424091434,True
i_single,1,1.0,13625841.381159216,1.0,2.0,13.625841381159216,6.812920690579608,1.4532301726449022,-0.46800172305583027,5.812920690579609,5.812920690579608,1.0683721349041966,1.453230172644902,-0.4680017230558303,True
i_single,1,1.0,20000000.0,1.0,2.0,20.0,10.0,2.25,-0.4772727272727273,9.0,9.0,1.0476190476190477,2.25,-0.4772727272727273,True
i_single,1,1.0,29355985.35244138,1.0,2.0,29.35598535244138,14.67799267622069,3.419498169055173,-0.4840540810827662,13.677992676220692,13.67799267622069,1.0329424325512653,3.4194981690551725,-0.48405408108276626,True
i_single,1,1.0,43088693.80063765,1.0,2.0,43.08869380063764,21.54434690031882,5.136086725079706,-0.4889107455139246,20.544346900318825,20.54434690031882,1.0226815519761563,5.136086725079705,-0.48891074551392455,True
i_single,1,1.0,63245553.20336759,1.0,2.0,63.245553203367585,31.622776601683793,7.655694150420949,-0.4923366424920711,30.622776601683796,30.622776601683793,1.015565279620747,7.655694150420949,-0.49233664249207115,True
i_single,1,1.0,92831776.67225555,1.0,2.0,92.83177667225554,46.41588833612777,11.353972084031945,-0.4947275057207034,45.41588833612778,45.41588833612777,1.010657370407606,11.353972084031943,-0.49472750572070345,True
i_single,1,1.0,136258413.81159216,1.0,2.0,136.25841381159216,68.12920690579608,16.78230172644902,-0.4963835835648935,67.12920690579608,67.12920690579608,1.0072855278757094,16.78230172644902,-0.4963835835648935,True
i_single,1,1.0,200000000.0,1.0,2.0,200.0,100.0,24.75,-0.4975247524752475,99.0,99.0,1.0049751243781095,24.75,-0.4975247524752475,True
i_single,1,10.0,1099999.9999999998,1.0,1.1,0.011,0.009999999999999998,-0.45,-0.45867768595041325,-0.9900000000000001,-0.99,1.09009009009009,-0.45,-0.4586776859504132,True
i_single,1,10.0,1614579.1943842766,1.0,1.1,0.016145791943842767,0.014677992676220697,-0.44787363969262695,-0.4603633230807581,-0.9853220073237794,-0.9853220073237793,1.0860986853904708,-0.4478736396926269,-0.4603633230807581,True
i_single,1,10.0,2369878.1590350713,1.0,1.1,0.023698781590350715,0.02154434690031883,-0.44475256959076415,-0.46260250138015574,-0.9784556530996812,-0.9784556530996812,1.0808415400009086,-0.44475256959076415,-0.4626025013801558,True
i_single,1,10.0,3478505.4261852163,1.0,1.1,0.03478505426185216,0.03162277660168378,-0.4401714651810528,-0.46546604878872916,-0.9683772233983163,-0.9683772233983162,1.0741922022049464,-0.44017146518105277,-0.46546604878872916,True
i_single,1,10.0,5105747.716974054,1.0,1.1,0.05105747716974055,0.046415888336127774,-0.4334473234835783,-0.4689551824114913,-0.9535841116638722,-0.9535841116638722,1.0661999669752407,-0.4334473234835783,-0.46895518241149126,True
i_single,1,10.0,7494212.759637572,1.0,1.1,0.07494212759637572,0.0681292069057961,-0.42357763322463815,-0.47296451562992625,-0.931870793094204,-0.9318707930942038,1.0571617605055763,-0.4235776332246381,-0.47296451562992625,True
i_single,1,10.0,10999999.999999998,1.0,1.1,0.10999999999999999,0.09999999999999998,-0.40909090909090906,-0.4772727272727273,-0.9,-0.9,1.0476190476190477,-0.4090909090909091,-0.4772727272727273,True
i_single,1,10.0,16145791.943842757,1.0,1.1,0.1614579194384276,0.1467799267622069,-0.38782730601717863,-0.4815809389155283,-0.853220073237793,-0.853220073237793,1.038247072498238,-0.3878273060171787,-0.4815809389155282,True
i_single,1,10.0,23698781.590350714,1.0,1.1,0.23698781590350712,0.21544346900318828,-0.35661660499855075,-0.4855902721339632,-0.7845565309968117,-0.7845565309968117,1.0296746633797091,-0.3566166049985508,-0.4855902721339633,True
i_single,1,10.0,34785054.26185217,1.0,1.1,0.3478505426185217,0.3162277660168379,-0.3108055609014373,-0.48907940575672537,-0.6837722339831621,-0.6837722339831621,1.0223288777133803,-0.3108055609014373,-0.4890794057567253,True
