cell,n_modes,kappa,h,v,w_r,dE_full,inject_full,dE_diag,inject_diag,dE_block2,inject_block2,dE_rank1,inject_rank1
386,3,2.0,0.00038076454413144017,-5.092440126685775,3.723238292961783,-3.4805236683358247,0,-3.4804926287669495,0,-3.480539314817818,0,-3.4805795613812096,0
387,4,2.0,0.0003997345819173097,-2.056692706841571,2.826794444484425,-0.5875450300596347,0,-0.595912471477159,0,-0.5968316613063414,0,-0.5995369420480137,0
388,7,2.0,0.0007704792598011591,-1.0388356835022965,2.694634454405716,-0.08821099875086366,0,-0.08992277018257709,0,-0.08649737773966605,0,-0.09898464420677837,0
389,5,2.0,0.0024539851640700476,-1.5633930286631583,0.7133714795379058,-1.634854773056042,0,-1.5078661262952933,0,-1.5139947721992757,0,-1.6908005390657619,0
390,8,2.0,0.006800833436170689,-0.018139135072546046,0.20612770571024347,-3.618814607806494e-06,0,-1.4393959320699182e-05,0,-1.482708518084385e-05,0,-4.082611989622814e-05,0
391,3,1.0,0.003275868205492204,-1.2365090957181781,8.995367436267754,-0.08497473148732197,0,-0.0849470242357489,0,-0.08496085399466627,0,-0.08497693222229517,0
392,6,1.0,0.001667163749464562,-7.005481534413146,0.6902064358641342,-0.36519607237573126,0,-0.8931210372164244,0,-0.4829110287201601,0,-1.3955133789361511,0
393,8,1.0,0.00037748462481218163,-0.5829221912816928,0.001552923130572895,-0.0073868570182327176,0,-0.007772442710916039,0,-0.007227339113967446,0,-0.008128300660402488,0
394,6,1.0,0.012718690992477796,-0.9316363682436323,0.0011964948792437442,-0.1371852416249908,0,-0.21935288085302318,0,-0.4999382938237886,0,-1.8986352822501544,0
395,6,1.0,0.004844854895129314,-0.014099281789640811,0.13048164892939632,-0.0005337558166409247,0,-0.0007450334092427876,0,-0.0007541969656512707,0,-0.0007604271014793066,0
396,2,2.0,0.01173979822304049,-4.112944077464379,0.02032660631714444,-4.829790769939905,0,-4.814482069939686,0,-4.829790769939905,0,-4.578075918142531,0
397,6,2.0,0.012950950541197393,-0.05878659765118396,0.13592466599101793,-0.0001810874459928849,0,-0.0025385489177721897,0,-0.0011985647011573189,0,-0.0026332468702933483,0
398,6,2.0,0.0004574820960897648,-0.011800090993560023,0.025440440579703995,-1.4931955764629912e-06,0,-1.4800841067362167e-06,0,-1.477212329719941e-06,0,-1.4827416213929016e-06,0
399,8,2.0,0.0004208261723463332,-2.307870793976963,0.0018214499884613537,-0.06129924677497911,0,-0.10209859364658769,0,-0.10069422117089744,0,-0.20101201212401065,0
400,4,2.0,0.01985896300533578,-1.3010630240257994,0.0037827547648826734,-3.5777357606287126,0,-3.3074797082924476,0,-3.648933730073736,0,-4.615211800746863,0
401,7,1.0,0.00441747694444903,-0.11232124283039367,0.020736463999887295,-0.00030211608203861706,0,-0.01439865633712012,0,-0.011618420156115361,0,-0.019240461989327773,0
402,2,2.0,0.0008206431917855571,-0.07627324475314116,7.050918370612646,-0.00041233689181184764,0,-0.0004123354846879026,0,-0.00041233689181184764,0,-0.0004123307389362258,0
403,4,1.0,0.005114967982127718,-0.8270944888900094,0.007165072087507234,-0.01917540613642643,0,0.023270565357968565,1,-0.01446248562007213,0,-0.27319336588261933,0
404,5,2.0,0.011502302999777985,-0.21199651040467155,1.6716042146680334,-0.01299791724314197,0,-0.013435843075665766,0,-0.013428120808489668,0,-0.013442681781847678,0
405,8,1.0,0.0066011850194917085,-0.018619295568909625,0.004411173056685232,-3.3969228713584543e-06,0,-2.649857242895126e-06,0,-2.422492973511159e-06,0,-2.648833567535369e-06,0
406,6,2.0,0.007381466622536301,-0.06361274244784736,2.7824596200411222,-0.0007091065043414236,0,-0.0007212618531716371,0,-0.0007087841582541067,0,-0.000721657538109424,0
407,2,1.0,0.013403527160548483,-0.13065893433683276,0.20048200724526258,-2.111355726369668e-05,0,-0.008653978510356534,0,-2.111355726369668e-05,0,0.2917673130767294,1
408,5,2.0,0.0003538800860915415,-0.010027938325116625,7.192780445918708,-6.868368573445851e-06,0,-6.948478232242304e-06,0,-6.872231817195366e-06,0,-6.9683779929381295e-06,0
409,7,1.0,0.02136424442423611,-0.7028178850104219,2.504896640196302,-0.08477216332792627,0,-0.09858648129674286,0,-0.09858697076584676,0,-0.09858831223667903,0
410,6,2.0,0.0068086369560095665,-0.05961302859942224,0.14133283287391402,-0.00809710365085489,0,-0.010491128997946138,0,-0.010792189829740492,0,-0.012456851522873529,0
411,3,2.0,0.010546006986951356,-0.052223932428370694,0.039778893700867436,-0.015218389317128753,0,-0.03424298262787577,0,-0.016098611355605006,0,-0.034281124025197,0
412,4,1.0,0.02687303236759857,-1.1882635384182154,3.392637419268706,-0.1324030241675227,0,-0.14008330374967998,0,-0.13955106781124949,0,0.684411119730965,1
