scene,s,arm,kappa,iterations,w_r,w_row,L,a_tilde,W_m,M_eff,mu_c,rho_host,rho_matched,rho_lt_1,v,dE_pred,dE_meas,dE_be,modal_ke,modal_pe,reldiff_sym,reldiff_be,passive_meas,passive_be,n_contacts,n_active_support,valid,runner_gap,wratio_min,wratio_max,preflight_res,preflight_ok,e_modal_trail_peak,reason,wall_s
ledge,0.00031622776601683794,matched,2.0,1,0.07514061126615987,0.10505418414442325,0.006355826118018811,0.000144,0.02991357287826337,13.308382553049011,33.42964092151786,128.1001951642218,0.22163495591939952,True,-1.0,-4.759448698517566,-4.7601130249434895,-5.5583806751386255,1.0643568669268455,0.28716104483823257,0.00013958054136188028,0.1678622939816336,True,True,0,1,True,50.001,3.164636349782257e-05,0.24924652567659245,8.470329472543003e-22,True,1.3141728506533865,,0.007768083014525473
ledge,0.0023713737056616554,matched,2.0,1,0.07514061126615987,0.09479755485989022,0.0042594023513981465,0.000144,0.01965694359373035,13.308382553049011,50.87260871618686,960.6159456800741,0.17174461344300737,True,-1.0,-5.274397643894873,-5.275400238353821,-5.915975206951799,0.8540999581306368,0.23626859072725998,0.00019008700644877684,0.1216399684615273,True,True,0,1,True,50.001,4.220573415496638e-06,0.24445828602943354,8.470329472543003e-22,True,1.0704519636191345,,0.007722209091298282
ledge,0.01778279410038923,matched,2.0,1,0.07514061126615987,0.08663022377003006,0.0036906805364321175,0.000144,0.011489612503870195,13.308382553049011,87.0351371434987,7203.603350579086,0.11709775454371009,True,-1.0,-5.771657722220685,-5.773095877922117,-6.161500978744584,0.5178734677632861,0.24507272736685032,0.00024917550046232395,0.06754441709580519,True,True,0,1,True,50.001,5.628307453370253e-07,0.21367589834215164,8.470329472543003e-22,True,0.755524710066904,,0.0077462909976020455
ledge,0.1333521432163324,matched,2.0,1,0.07514061126615987,0.07990905427229358,0.0028958752971337868,0.000144,0.004768443006133723,13.308382553049011,209.71205878180453,54019.404389271316,0.05631298939380138,True,-1.0,-6.257113221440816,-6.2591001999751015,-6.3686755799313275,0.14610050660830368,0.2259404805242921,0.0003175551510681568,0.01782968511872667,True,True,0,1,True,50.001,7.505483259853998e-08,0.10990015584141559,8.470329472543003e-22,True,0.36656496759715707,,0.0076879169791936874
ledge,1.0,matched,2.0,1,0.07514061126615987,0.07612447234932143,0.0008976236511789189,0.000144,0.0009838610831615594,13.308382553049011,1016.4036540469509,405088.3854310281,0.012759465019731495,True,-1.0,-6.568190025746129,-6.5706027598440535,-6.576162275888944,0.007412688059856567,0.07715679802105213,0.00036733622024740783,0.0012137666711171202,True,True,0,1,True,50.001,1.0008725389872959e-08,0.02367515779805613,0.0,True,0.08390342894530894,,0.007667041965760291
shelf,1e-07,matched,2.0,1,0.9261105482149443,1.5684414625373657,0.00134923171353783,0.000144,0.6423309143224215,1.0797846994913034,1.5568299418608467,0.006651377112213019,0.29054592912672333,True,-1.0,-0.31878779791444606,-0.31883395629557354,-0.4165262969413197,0.13025645419432857,0.0002741827787912204,0.00014479343760788775,0.3065942287198332,True,True,0,1,True,50.001,0.2399596713761179,0.24999999291082672,4.235164736271502e-21,True,0.12615230832848076,,0.00933625001925975
shelf,7.498942093324558e-07,matched,2.0,1,0.9261105482149443,1.5613694689594644,0.00659135004440629,0.000144,0.6352589207445201,1.0797846994913034,1.574161286594772,0.04987829180534977,0.2891972641900194,True,-1.0,-0.32023170040157917,-0.32027870053933905,-0.4169640912742425,0.12891385431320426,0.001351614714921021,0.00014676916027032578,0.3020700035360594,True,True,0,1,True,50.001,0.1902922432349316,0.2499999468387101,1.7787691892340307e-20,True,0.12810851142265578,,0.008335582911968231
shelf,5.623413251903491e-06,matched,2.0,1,0.9261105482149443,1.5431838760811183,0.009527531350274569,0.000144,0.617073327866174,1.0797846994913034,1.620552947018433,0.3740344219622627,0.2856480824314056,True,-1.0,-0.32400545894099086,-0.3240547134491236,-0.4197066763863502,0.12753595058296874,0.0020000183927443302,0.00015201752554955283,0.2953691513660231,True,True,0,1,True,50.001,0.07456157227495011,0.24999960134711632,9.317362419797304e-21,True,0.12773760419595387,,0.008310083067044616
shelf,4.216965034285822e-05,matched,2.0,1,0.9261105482149443,1.522864167797948,0.014196592463009469,0.000144,0.5967536195830037,1.0797846994913034,1.675733447077832,2.804862471205131,0.2815383146601945,True,-1.0,-0.328328691798558,-0.3283806275047807,-0.42256205054949847,0.12557523072629,0.0030601989008405147,0.0001581820520716444,0.28700921090611287,True,True,0,1,True,50.001,0.01340877092096052,0.24999701055609064,1.2705494208814505e-20,True,0.13255485933378675,,0.008425000007264316
shelf,0.00031622776601683794,matched,2.0,1,0.9261105482149443,1.4609884537098214,0.05331572035914642,0.000144,0.5348779054948771,1.0797846994913034,1.869585544152894,21.033501251306504,0.26799284582761956,True,-1.0,-0.3422340530689156,-0.3422953592008158,-0.42688252428065665,0.11278288677312084,0.012486654970215654,0.00017913510169559598,0.24734087812908387,True,True,0,1,True,50.001,0.0018752553279005161,0.24997758407523882,4.235164736271502e-21,True,0.12651195685134,,0.008308291900902987
shelf,0.0023713737056616554,matched,2.0,1,0.9261105482149443,1.3176331407509243,0.07905337910901462,0.000144,0.39152259253598,1.0797846994913034,2.554131023506906,157.72900790341708,0.22907367942594484,True,-1.0,-0.37946829397069354,-0.37956094648386074,-0.4470377595430608,0.0899690840789334,0.022761794782208633,0.00024416404384593296,0.17806353428195945,True,True,0,1,True,50.001,0.0002517055906726327,0.24983200217380425,2.541098841762901e-21,True,0.11317772476230539,,0.008373582968488336
shelf,0.01778279410038923,matched,2.0,1,0.9261105482149443,1.1766793810195622,0.055691576864516056,0.000144,0.2505688328046177,1.0797846994913034,3.990919336642937,1182.8006967052563,0.1755607962074387,True,-1.0,-0.42492458699052155,-0.4250702430222182,-0.4778381473773452,0.07035720580683584,0.02010652149355141,0.0003427808984371346,0.12452459096701776,True,True,0,1,True,50.001,3.35947934635884e-05,0.24874567197178069,0.0,True,0.08955760422430077,,0.008320666034705937
shelf,0.1333521432163324,matched,2.0,1,0.9261105482149443,1.0849515467792383,0.0410255851493073,0.000144,0.15884099856429396,1.0797846994913034,6.295603836784183,8869.75393253666,0.12770698711690903,True,-1.0,-0.46085007342889023,-0.4610515647900728,-0.49857455300609654,0.05003065095469836,0.01742163161272885,0.0004372167279553929,0.08185846493746356,True,True,0,1,True,50.001,4.4804595010078885e-06,0.24089088952759563,0.0,True,0.09656034096357788,,0.00830087496433407
shelf,1.0,matched,2.0,1,0.9261105482149443,1.00993623210193,0.03192965936570905,0.000144,0.08382568388698565,1.0797846994913034,11.929517942832494,66513.77112213019,0.07663979030682867,True,-1.0,-0.4950807626332752,-0.49534908570205305,-0.5144236055405749,0.025432693118029082,0.015647773321795597,0.0005419783781350204,0.0390700757678755,True,True,0,1,True,50.001,5.974881571931307e-07,0.19476974093327976,1.6940658945086007e-21,True,0.05901390866033044,,0.008368374896235764
