M,m,b,order,n,E_plus,dE,D_modal,lam_c,lam_s,Cc,n_conv,converged_flag
1.0,1.0,4.0,B,4,0.10603200000000002,-0.393968,0.08836000000000002,0.000812,0.000624,0.0,,False
1.0,1.0,4.0,B,6,0.08678161920000003,-0.41321838079999995,0.07231801600000004,0.00082992,0.00065984,8.131516293641283e-20,,False
1.0,1.0,4.0,B,8,0.08388036145152004,-0.41611963854847994,0.06990030120960004,0.0008327872,0.0006655744,8.131516293641283e-20,,False
1.0,1.0,4.0,B,12,0.08334731493307286,-0.41665268506692715,0.06945609577756072,0.00083331935232,0.0006666387046400001,-2.710505431213761e-20,,False
1.0,1.0,4.0,B,16,0.08333369124765896,-0.416666308752341,0.06944474270638246,0.000833332975419392,0.000666665950838784,-8.131516293641283e-20,,False
1.0,1.0,4.0,B,24,0.08333333356789585,-0.41666666643210415,0.06944444463991323,0.0008333333330987709,0.0006666666661975417,8.131516293641283e-20,,False
1.0,1.0,4.0,B,32,0.08333333333348711,-0.41666666666651286,0.0694444444445726,0.0008333333333331796,0.0006666666666663594,8.131516293641283e-20,,False
1.0,1.0,4.0,B,48,0.08333333333333338,-0.41666666666666663,0.06944444444444449,0.0008333333333333333,0.0006666666666666669,-2.710505431213761e-20,,False
1.0,1.0,4.0,B,64,0.08333333333333338,-0.41666666666666663,0.06944444444444449,0.0008333333333333333,0.0006666666666666669,-2.710505431213761e-20,,False
1.0,1.0,4.0,A,40,0.08333333333333337,-0.41666666666666663,0.06944444444444446,0.0008333333333333332,0.0006666666666666668,-1.6263032587282567e-19,28,True
1.0,1.0,4.0,B,41,0.08333333333333345,-0.4166666666666665,0.06944444444444456,0.0008333333333333333,0.0006666666666666668,5.421010862427522e-20,29,True
1.0,1.0,100.0,A,1,0.12623762376237624,-0.37376237623762376,0.00123762376237624,0.0005,0.0004950495049504951,-0.0004950495049504951,,False
1.0,1.0,100.0,A,2,0.0346381785517048,-0.4653618214482952,0.0027663032453622807,0.0007475247524752475,0.0007401235173022252,-0.0002450740123517302,,False
1.0,1.0,100.0,A,3,0.012189534984733075,-0.4878104650152669,0.0037475617023122187,0.0008700617586511126,0.0008614472857931808,-0.00012132376849095558,,False
1.0,1.0,100.0,A,4,0.00668795583392145,-0.49331204416607854,0.0042883490071618825,0.0009307236428965904,0.0009215085573233568,-6.006127153017605e-05,,False
1.0,1.0,100.0,A,6,0.0050092299179397655,-0.4949907700820602,0.004712060391651703,0.0009756209300305339,0.0009659613168619147,-1.4719456800846992e-05,,False
1.0,1.0,100.0,A,8,0.004908403504875245,-0.49509159649512474,0.0048189459984022765,0.000986624088332157,0.0009768555330021357,-3.6073563378215727e-06,,False
1.0,1.0,100.0,A,12,0.0049019840255025765,-0.49509801597449743,0.004851799256761011,0.0009899815401641205,0.0009801797427367528,-2.1666240851200684e-07,,False
1.0,1.0,100.0,A,16,0.004901960868152976,-0.495098039131847,0.004853776018219633,0.0009901831929902496,0.000980379399000247,-1.301301974795172e-08,,False
1.0,1.0,100.0,A,24,0.004901960784314819,-0.4950980392156852,0.004853901889542255,0.000990196031948995,0.0009803921108405892,-4.694259920151123e-11,,False
1.0,1.0,100.0,A,32,0.004901960784313729,-0.4950980392156863,0.004853902343607922,0.000990196078263694,0.000980392156696727,-1.6933878615749826e-13,,False
1.0,1.0,100.0,A,48,0.004901960784313732,-0.4950980392156863,0.004853902345251812,0.0009901960784313704,0.0009803921568627436,-2.2005915969666723e-18,,False
1.0,1.0,100.0,A,64,0.004901960784313732,-0.4950980392156863,0.0048539023452518325,0.0009901960784313726,0.0009803921568627457,-1.0164395367051604e-20,,False
1.0,1.0,100.0,B,1,12.75,12.25,12.625,0.0005,0.0,0.0,,False
1.0,1.0,100.0,B,2,3.250931281246937,2.750931281246937,3.2190594059405946,0.0007475247524752475,0.0004950495049504951,0.0,,False
