t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.0315,-0.0098397252,0.00088128227,0.0019077224,0.08869119,0,nan,0.00088128227,0.02956373,0.02956373,0.02956373
0.032,-0.0099392776,0.00044823438,0.0017461628,0.091484443,0,nan,0.00044823438,0.030494814,0.030494814,0.030494814
0.0325,-0.01003697,0.00015778105,0.0016540707,0.094321002,0,nan,0.00015778105,0.031440334,0.031440334,0.031440334
0.033,-0.010133296,1.5449006e-05,0.0016258936,0.097200867,0,nan,1.5449006e-05,0.032400289,0.032400289,0.032400289
0.0335,-0.010228754,2.1579301e-05,0.0016594451,0.10012404,0,nan,2.1579301e-05,0.033374679,0.033374679,0.033374679
0.034,-0.010323831,0.00017142151,0.0017558568,0.10309052,0,nan,0.00017142151,0.034363505,0.034363505,0.034363505
0.0345,-0.010418985,0.00045540095,0.0019193707,0.1061003,0,nan,0.00045540095,0.035366767,0.035366767,0.035366767
0.035,-0.010514633,0.00085954611,0.0021569828,0.10915339,0,nan,0.00085954611,0.036384464,0.036384464,0.036384464
0.0355,-0.010611136,0.0013660585,0.002477956,0.11224979,0,nan,0.0013660585,0.037416596,0.037416596,0.037416596
0.036,-0.010708787,0.0019540023,0.0028932261,0.11538949,0,nan,0.0019540023,0.038463163,0.038463163,0.038463163
0.0365,-0.010807806,0.0026000873,0.0034147233,0.1185725,0,nan,0.0026000873,0.039524166,0.039524166,0.039524166
0.037,-0.01090833,0.0032795176,0.0040546396,0.12179881,0,nan,0.0032795176,0.040599605,0.040599605,0.040599605
0.0375,-0.011010414,0.0039668732,0.0048246704,0.12506844,0,nan,0.0039668732,0.041689479,0.041689479,0.041689479
0.038,-0.011114029,0.0046369966,0.0057352596,0.12838136,0,nan,0.0046369966,0.042793788,0.042793788,0.042793788
0.0385,-0.011219065,0.0052658512,0.0067948781,0.1317376,0,nan,0.0052658512,0.043912532,0.043912532,0.043912532
0.039,-0.011325339,0.005831324,0.0080093624,0.13513714,0,nan,0.005831324,0.045045713,0.045045713,0.045045713
0.0395,-0.011432599,0.0063139456,0.0093813387,0.13857998,0,nan,0.0063139456,0.046193328,0.046193328,0.046193328
0.04,-0.011540539,0.006697505,0.010909754,0.14206614,0,nan,0.006697505,0.047355379,0.047355379,0.047355379
0.0405,-0.011648807,0.0069695395,0.012589531,0.1455956,0,nan,0.0069695395,0.048531865,0.048531865,0.048531865
0.041,-0.01175702,0.0071216861,0.014411366,0.14916836,0,nan,0.0071216861,0.049722787,0.049722787,0.049722787
0.0415,-0.011864779,0.0071498849,0.016361662,0.15278443,0,nan,0.0071498849,0.050928144,0.050928144,0.050928144
0.042,-0.011971682,0.0070544298,0.018422627,0.15644381,0,nan,0.0070544298,0.052147937,0.052147937,0.052147937
0.0425,-0.012077338,0.0068398702,0.020572508,0.16014649,0,nan,0.0068398702,0.053382165,0.053382165,0.053382165
0.043,-0.012181381,0.0065147663,0.022785966,0.16389248,0,nan,0.0065147663,0.054630828,0.054630828,0.054630828
0.0435,-0.012283482,0.0060913139,0.02503459,0.16768178,0,nan,0.0060913139,0.055893927,0.055893927,0.055893927
0.044,-0.012383361,0.0055848504,0.027287509,0.17151438,0,nan,0.0055848504,0.057171461,0.057171461,0.057171461
0.0445,-0.012480795,0.0050132633,0.029512108,0.17539029,0,nan,0.0050132633,0.058463431,0.058463431,0.058463431
0.045,-0.012575622,0.0043963241,0.031674807,0.17930951,0,nan,0.0043963241,0.059769836,0.059769836,0.059769836
0.0455,-0.012667752,0.0037549698,0.033741883,0.18327203,0,nan,0.0037549698,0.061090676,0.061090676,0.061090676
0.046,-0.012757163,0.00311056,0.035680315,0.18727786,0,nan,0.00311056,0.062425952,0.062425952,0.062425952
0.0465,-0.012843904,0.0024841341,0.037458616,0.19132699,0,nan,0.0024841341,0.063775663,0.063775663,0.063775663
0.047,-0.012928088,0.0018956954,0.039047624,0.19541943,0,nan,0.0018956954,0.06513981,0.06513981,0.06513981
0.0475,-0.013009894,0.0013635446,0.040421246,0.19955518,0,nan,0.0013635446,0.066518392,0.066518392,0.066518392
0.048,-0.013089553,0.0009036861,0.041557105,0.20373423,0,nan,0.0009036861,0.06791141,0.06791141,0.06791141
0.0485,-0.013167342,0.00052932489,0.04243709,0.20795659,0,nan,0.00052932489,0.069318863,0.069318863,0.069318863
0.049,-0.013243574,0.00025047024,0.04304779,0.21222225,0,nan,0.00025047024,0.070740751,0.070740751,0.070740751
0.0495,-0.013318588,7.3656998e-05,0.043380794,0.21653122,0,nan,7.3656998e-05,0.072177075,0.072177075,0.072177075
0.05,-0.013392733,1.7921764e-06,0.04343285,0.2208835,0,nan,1.7921764e-06,0.073627834,0.073627834,0.073627834
0.0505,-0.01346636,3.4129137e-05,0.043205892,0.22527909,0,nan,3.4129137e-05,0.075093029,0.075093029,0.075093029
0.051,-0.013539808,0.00016636791,0.042706918,0.22971798,0,nan,0.00016636791,0.076572659,0.076572659,0.076572659
