t,slab_KE,slab_PE,cube_KE,bystander_KE,total,max_pen
0.053,0.0068528571,0.026534389,0.34485101,0.00050614198,-0.060324629,8.3637696e-06
0.0535,0.0068750375,0.028614462,0.35130238,0.00049111798,-0.060420427,7.9392143e-06
0.054,0.0068106514,0.03078031,0.35781316,0.00047298059,-0.060515333,7.54716e-06
0.0545,0.0066617551,0.033018283,0.36438433,0.00045301946,-0.060609102,7.2337884e-06
0.055,0.0064333996,0.035311231,0.37101638,0.00043224859,-0.06070153,7.0321612e-06
0.0555,0.0061331975,0.037639254,0.37770915,0.00041132119,-0.060792457,6.9593144e-06
0.056,0.0057707903,0.039980475,0.38446181,0.000390502,-0.060881771,7.015813e-06
0.0565,0.0053572339,0.042311827,0.39127308,0.00036969365,-0.060969395,7.1875452e-06
0.057,0.0049043455,0.044609794,0.39814156,0.0003485087,-0.061055278,7.4492146e-06
0.0575,0.004424088,0.046851106,0.40506606,0.0003263771,-0.061139397,7.9059603e-06
0.058,0.0039280683,0.049013315,0.4120459,0.00030267743,-0.061221747,8.3838043e-06
0.0585,0.0034272131,0.051075226,0.41908101,0.00027687841,-0.061302339,8.8205598e-06
0.059,0.0029316342,0.053017148,0.42617193,0.00024867461,-0.061381203,9.1825397e-06
0.0595,0.0024506538,0.054820985,0.43331971,0.00021809767,-0.061458386,9.4485598e-06
0.06,0.0019929186,0.05647023,0.44052577,0.00018558455,-0.061533947,9.6107351e-06
0.0605,0.0015665197,0.057949905,0.44779174,0.00015198848,-0.06160796,9.6734515e-06
0.061,0.0011790456,0.059246556,0.4551193,0.00011852599,-0.061680513,9.6509139e-06
0.0615,0.00083752691,0.060348314,0.46251014,8.6664707e-05,-0.061751714,9.5638187e-06
0.062,0.00054827118,0.061245071,0.46996579,5.7967511e-05,-0.061821693,9.4357422e-06
0.0625,0.0003166223,0.061928708,0.47748757,3.3917208e-05,-0.061890606,9.2897752e-06
0.063,0.00014670054,0.062393357,0.48507651,1.5749795e-05,-0.061958629,9.1635805e-06
0.0635,4.1184141e-05,0.062635603,0.49273324,4.3224454e-06,-0.06202596,9.0801248e-06
0.064,1.1789902e-06,0.062654601,0.50045798,3.5254689e-08,-0.062092807,9.0027377e-06
0.0645,2.6197995e-05,0.062452062,0.50825054,2.8153175e-06,-0.062159374,8.9370395e-06
0.065,0.000114243,0.062032133,0.51611034,1.2160318e-05,-0.062225856,8.8855646e-06
0.0655,0.00026195924,0.06140118,0.52403648,2.7229074e-05,-0.062292431,8.8480691e-06
0.066,0.00046482054,0.060567555,0.5320279,4.6960182e-05,-0.062359251,8.8220729e-06
0.0665,0.00071730566,0.059541355,0.54008343,7.019796e-05,-0.062426448,8.803542e-06
0.067,0.0010130397,0.058334243,0.54820192,9.5806914e-05,-0.062494129,8.7876225e-06
0.0675,0.0013448944,0.056959313,0.5563823,0.00012276101,-0.062562385,8.76935e-06
0.068,0.00170506,0.055430998,0.56462366,0.00015020044,-0.06263129,8.7442677e-06
