t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0.049,46.525774,1.2485015e-05,31.305222,0.0039506268,0.010747432,0.010451279,0.010449401,0.013756629,0.0042171203,0.0051841808,2.7654356
0.0495,45.899666,1.1600264e-05,33.250068,0.0035702545,0.011357518,0.011053018,0.011051086,0.01462317,0.0038359534,0.0047606524,2.2218746
0.05,45.280164,1.0933112e-05,35.407109,0.0032091267,0.011984446,0.011671599,0.011669613,0.015516177,0.0034728754,0.0043551751,1.7621516
0.0505,44.66326,1.0377799e-05,37.512652,0.0028672656,0.012628215,0.01230702,0.012304982,0.016435648,0.0031278726,0.0039677471,1.3698139
0.051,44.048584,9.8274898e-06,39.30008,0.002544663,0.013288826,0.012959283,0.012957191,0.017381584,0.0028009199,0.0035983647,1.0357749
0.0515,43.438781,9.1839308e-06,40.542513,0.0022413092,0.013966277,0.013628387,0.013626242,0.018353985,0.0024920093,0.0032470262,0.75617269
0.052,42.838413,8.3655065e-06,41.083813,0.0019572015,0.014660571,0.014314333,0.014312134,0.019352851,0.002201142,0.0029137319,0.52973373
0.0525,42.252678,7.3132918e-06,40.85349,0.0016923408,0.015371705,0.01501712,0.015014868,0.020378182,0.0019283196,0.0025984819,0.35519426
0.053,41.686238,6.5760682e-06,39.864649,0.0014467275,0.016099681,0.015736748,0.015734443,0.021429978,0.001673542,0.0023012763,0.22940579
0.0535,41.142389,6.0125309e-06,38.197787,0.0012203617,0.016844498,0.016473217,0.016470859,0.022508239,0.0014368088,0.002022115,0.1466001
0.054,40.622708,5.2576626e-06,35.976033,0.0010132433,0.017606156,0.017226528,0.017224117,0.023612965,0.0012181199,0.001760998,0.098978607
0.0545,40.127176,4.3279956e-06,33.338752,0.00082537198,0.018384656,0.01799668,0.017994215,0.024744156,0.0010174752,0.0015179252,0.078421926
0.055,39.654853,2.7707834e-06,30.420447,0.00065674791,0.019179997,0.018783674,0.018781156,0.025901811,0.00083487483,0.0012928967,0.078341535
0.0555,39.206404,0,27.349824,0.00050737106,0.019992179,0.019587509,0.019584937,0.027085932,0.0006703187,0.0010859125,0.087829587
0.056,38.782689,0,24.254298,0.00037724144,0.020821203,0.020408185,0.02040556,0.028296517,0.00052380685,0.0008969725,0.094898184
0.0565,38.383349,0,21.253827,0.00026635904,0.021667068,0.021245702,0.021243024,0.029533568,0.00039533926,0.0007260768,0.098894294
0.057,38.00755,0,18.466586,0.00017472387,0.022529774,0.022100061,0.022097329,0.030797083,0.00028491595,0.00057322538,0.10061606
0.0575,37.653612,0,15.999881,0.00010233591,0.023409322,0.022971261,0.022968476,0.032087064,0.0001925369,0.00043841822,0.1015806
0.058,37.318887,0,13.938634,4.9195168e-05,0.024305711,0.023859302,0.023856464,0.033403509,0.00011820212,0.00032165533,0.10324917
0.0585,36.999902,0,12.334116,1.530165e-05,0.025218941,0.024764185,0.024761294,0.034746419,6.1911608e-05,0.00022293671,0.10650323
0.059,36.692726,0,11.195853,6.5535175e-07,0.026149012,0.025685909,0.025682964,0.036115794,2.3665366e-05,0.00014226236,0.11148696
0.0595,36.393465,0,10.489048,5.2562734e-06,0.027095925,0.026624474,0.026621476,0.037511634,3.4633931e-06,7.9632272e-05,0.11776482
0.06,36.098758,0,10.138661,2.9104415e-05,0.02805968,0.027579881,0.02757683,0.038933939,1.3056889e-06,3.5046457e-05,0.12464395
0.0605,35.806169,0,10.039677,7.2199777e-05,0.029040275,0.028552129,0.028549024,0.040382709,1.7192253e-05,8.5049107e-06,0.13149563
0.061,35.514415,0,10.071731,0.00013454236,0.030037712,0.029541218,0.02953806,0.041857944,5.1123087e-05,7.6333062e-09,0.13795963
0.0615,35.223376,0,10.115289,0.00021613216,0.03105199,0.030547149,0.030543937,0.043359644,0.00010309819,9.5546247e-06,0.14399195
0.062,34.933926,0,10.06646,0.00031696918,0.032083109,0.031569921,0.031566656,0.044887809,0.00017311756,3.7145885e-05,0.14978475
0.0625,34.64764,0,9.848039,0.00043705342,0.03313107,0.032609534,0.032606216,0.046442438,0.0002611812,8.2781414e-05,0.15562508
0.063,34.366443,0,9.4155189,0.00057638489,0.034195872,0.033665989,0.033662617,0.048023533,0.00036728911,0.00014646121,0.16176138
0.0635,34.092278,0,8.7579855,0.00073496357,0.035277516,0.034739284,0.03473586,0.049631092,0.00049144128,0.00022818528,0.16832356
0.064,33.826859,0,7.8948521,0.00091278947,0.036376,0.035829422,0.035825944,0.051265117,0.00063363773,0.00032795361,0.17530971
0.0645,33.571504,0,6.8699268,0.0011098626,0.037491327,0.0369364,0.036932869,0.052925606,0.00079387844,0.00044576622,0.18262436
0.065,33.327068,0,5.7443286,0.0013261829,0.038623494,0.03806022,0.038056635,0.05461256,0.00097216343,0.00058162309,0.19013934
0.0655,33.093932,0,4.5894005,0.0015617505,0.039772503,0.039200881,0.039197243,0.056325979,0.0011684927,0.00073552423,0.19774861
0.066,32.872031,0,3.4802278,0.0018165653,0.040938353,0.040358383,0.040354692,0.058065864,0.0013828662,0.00090746964,0.20539906
0.0665,32.660887,0,2.4898956,0.0020906273,0.042121044,0.041532727,0.041528983,0.059832213,0.001615284,0.0010974593,0.21309331
0.067,32.459646,0,1.6843798,0.0023839365,0.043320577,0.042723912,0.042720114,0.061625027,0.001865746,0.0013054933,0.22087182
0.0675,32.26712,0,1.1179758,0.0026964929,0.044536951,0.043931939,0.043928087,0.063444305,0.0021342524,0.0015315715,0.22878677
0.068,32.081842,0,0.82936423,0.0030282966,0.045770166,0.045156806,0.045152902,0.065290049,0.002420803,0.001775694,0.23687962
0.0685,31.902154,0,0.83864136,0.0033793475,0.047020222,0.046398516,0.046394558,0.067162258,0.0027253978,0.0020378607,0.24516911
0.069,31.726325,0,1.1457734,0.0037496456,0.04828712,0.047657066,0.047653055,0.069060932,0.003048037,0.0023180717,0.25365112
0.0695,31.55269,0,1.7308814,0.0041391909,0.04957086,0.048932458,0.048928393,0.07098607,0.0033887204,0.002616327,0.26230671
0.07,31.379791,0,2.5565352,0.0045479834,0.05087144,0.050224691,0.050220573,0.072937674,0.003747448,0.0029326266,0.27111309
0.0705,31.206504,0,3.5718966,0.0049760232,0.052188862,0.051533765,0.051529594,0.074915742,0.00412422,0.0032669704,0.28005274
0.071,31.032123,0,4.7182157,0.0054233102,0.053523125,0.05285968,0.052855456,0.076920276,0.0045190362,0.0036193585,0.28911798
0.0715,30.856385,0,5.9349434,0.0058898444,0.05487423,0.054202437,0.05419816,0.078951274,0.0049318967,0.0039897909,0.29831059
0.072,30.679452,0,7.165648,0.0063756258,0.056242175,0.055562036,0.055557704,0.081008737,0.0053628014,0.0043782675,0.30763832
0.0725,30.501834,0,8.3630061,0.0068806545,0.057626963,0.056938475,0.056934091,0.083092665,0.0058117504,0.0047847884,0.31711023
0.073,30.324284,0,9.4923576,0.0074049303,0.059028591,0.058331756,0.058327318,0.085203059,0.0062787437,0.0052093536,0.32673305
0.0735,30.147685,0,10.533578,0.0079484534,0.060447061,0.059741878,0.059737387,0.087339917,0.0067637813,0.005651963,0.33650942
0.074,29.972926,0,11.481291,0.0085112237,0.061882372,0.061168842,0.061164297,0.08950324,0.0072668631,0.0061126168,0.34643817
0.0745,29.800809,0,12.343629,0.0090932412,0.063334524,0.062612647,0.062608049,0.091693027,0.0077879892,0.0065913147,0.35651586
0.075,29.631968,0,13.139885,0.009694506,0.064803518,0.064073293,0.064068642,0.09390928,0.0083271595,0.007088057,0.36673861
0.0755,26.669146,4.2165089e-05,11.404152,0.010315018,0.066289353,0.06555078,0.065546076,0.096151998,0.0088843742,0.0076028435,0.04494261
0.076,23.552433,7.1483878e-05,8.2616194,0.010954777,0.067792029,0.067045109,0.067040351,0.098421181,0.0094596331,0.0081356743,0.8155559
0.0765,23.330705,1.6111538e-05,8.4393381,0.011613784,0.069311547,0.068556279,0.068551468,0.10071683,0.010052936,0.0086865493,1.0916463
0.077,23.116538,2.7436493e-06,8.9137738,0.012292037,0.070847906,0.070084291,0.070079426,0.10303894,0.010664284,0.0092554687,1.1580177
0.0775,22.924595,5.4184157e-06,9.4475428,0.012989538,0.072401106,0.071629144,0.071624226,0.10538752,0.011293675,0.0098424322,1.3498204
0.078,22.746311,7.6835107e-06,10.103167,0.013706286,0.073971148,0.073190838,0.073185867,0.10776256,0.011941111,0.01044744,1.6123907
0.0785,22.57548,8.490665e-06,10.881098,0.014442281,0.075558031,0.074769373,0.074764349,0.11016407,0.012606592,0.011070492,1.9016365
0.079,22.407996,7.968456e-06,11.724507,0.015197524,0.077161755,0.07636475,0.076359672,0.11259204,0.013290116,0.011711589,2.1949338
0.0795,22.242466,6.9448353e-06,12.565173,0.015972014,0.078782321,0.077976968,0.077971837,0.11504648,0.013991685,0.012370729,2.4735503
0.08,22.079608,5.9049077e-06,13.348582,0.01676575,0.080419728,0.079606027,0.079600843,0.11752738,0.014711298,0.013047914,2.7230776
0.0805,21.921312,4.9992683e-06,14.046275,0.017578735,0.082073976,0.081251928,0.08124669,0.12003475,0.015448955,0.013743143,2.9363818
0.081,21.769644,4.246584e-06,14.658134,0.018410966,0.083745065,0.08291467,0.082909379,0.12256858,0.016204657,0.014456417,3.1142466
0.0815,21.626051,3.667156e-06,15.205941,0.019262445,0.085432996,0.084594253,0.084588909,0.12512888,0.016978403,0.015187735,3.2643012
