t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.044,-0.01127519,0.0064150885,0.028571661,0.17151438,0,nan,0.0064150885,0.057171461,0.057171461,0.057171461
0.0445,-0.011364941,0.0057576124,0.031013731,0.17539029,0,nan,0.0057576124,0.058463431,0.058463431,0.058463431
0.045,-0.011454102,0.0050470536,0.033391406,0.17930951,0,nan,0.0050470536,0.059769836,0.059769836,0.059769836
0.0455,-0.011542678,0.0043076376,0.035666444,0.18327203,0,nan,0.0043076376,0.061090676,0.061090676,0.061090676
0.046,-0.011630674,0.0035641754,0.037801282,0.18727786,0,nan,0.0035641754,0.062425952,0.062425952,0.062425952
0.0465,-0.011718095,0.0028411995,0.039759998,0.19132699,0,nan,0.0028411995,0.063775663,0.063775663,0.063775663
0.047,-0.011804946,0.0021621232,0.041509246,0.19541943,0,nan,0.0021621232,0.06513981,0.06513981,0.06513981
0.0475,-0.011891232,0.0015484539,0.04301911,0.19955518,0,nan,0.0015484539,0.066518392,0.066518392,0.066518392
0.048,-0.011976958,0.0010190853,0.044263874,0.20373423,0,nan,0.0010190853,0.06791141,0.06791141,0.06791141
0.0485,-0.012062128,0.0005896915,0.045222677,0.20795659,0,nan,0.0005896915,0.069318863,0.069318863,0.069318863
0.049,-0.012146748,0.0002722429,0.045880023,0.21222225,0,nan,0.0002722429,0.070740751,0.070740751,0.070740751
0.0495,-0.012230823,7.4657854e-05,0.046226146,0.21653122,0,nan,7.4657854e-05,0.072177075,0.072177075,0.072177075
0.05,-0.012314356,5.9969951e-07,0.046257217,0.2208835,0,nan,5.9969951e-07,0.073627834,0.073627834,0.073627834
0.0505,-0.012397354,4.9424019e-05,0.045975378,0.22527909,0,nan,4.9424019e-05,0.075093029,0.075093029,0.075093029
0.051,-0.012479819,0.00021627507,0.045388622,0.22971798,0,nan,0.00021627507,0.076572659,0.076572659,0.076572659
0.0515,-0.012561758,0.00049232558,0.04451051,0.23420017,0,nan,0.00049232558,0.078066724,0.078066724,0.078066724
0.052,-0.012643174,0.00086514921,0.043359742,0.23872568,0,nan,0.00086514921,0.079575225,0.079575225,0.079575225
0.0525,-0.012724073,0.0013192105,0.0419596,0.24329448,0,nan,0.0013192105,0.081098161,0.081098161,0.081098161
0.053,-0.012804458,0.0018364533,0.040337283,0.2479066,0,nan,0.0018364533,0.082635533,0.082635533,0.082635533
0.0535,-0.012884335,0.0023969663,0.038523144,0.25256202,0,nan,0.0023969663,0.08418734,0.08418734,0.08418734
0.054,-0.012963706,0.0029797003,0.036549878,0.25726075,0,nan,0.0029797003,0.085753583,0.085753583,0.085753583
0.0545,-0.013042578,0.0035632127,0.034451661,0.26200278,0,nan,0.0035632127,0.087334261,0.087334261,0.087334261
0.055,-0.013120954,0.004126413,0.032263289,0.26678812,0,nan,0.004126413,0.088929374,0.088929374,0.088929374
0.0555,-0.013198839,0.0046492823,0.030019328,0.27161677,0,nan,0.0046492823,0.090538923,0.090538923,0.090538923
0.056,-0.013276236,0.0051135447,0.027753312,0.27648872,0,nan,0.0051135447,0.092162907,0.092162907,0.092162907
0.0565,-0.01335315,0.005503266,0.025497004,0.28140398,0,nan,0.005503266,0.093801327,0.093801327,0.093801327
0.057,-0.013429586,0.0058053626,0.023279747,0.28636255,0,nan,0.0058053626,0.095454182,0.095454182,0.095454182
0.0575,-0.013505546,0.006010002,0.021127915,0.29136442,0,nan,0.006010002,0.097121472,0.097121472,0.097121472
0.058,-0.013581037,0.0061108857,0.019064488,0.29640959,0,nan,0.0061108857,0.098803198,0.098803198,0.098803198
0.0585,-0.01365606,0.0061054053,0.017108749,0.30149808,0,nan,0.0061054053,0.10049936,0.10049936,0.10049936
0.059,-0.013730621,0.0059946678,0.015276111,0.30662987,0,nan,0.0059946678,0.10220996,0.10220996,0.10220996
0.0595,-0.013804724,0.005783394,0.013578082,0.31180496,0,nan,0.005783394,0.10393499,0.10393499,0.10393499
0.06,-0.013878372,0.0054796933,0.012022347,0.31702337,0,nan,0.0054796933,0.10567446,0.10567446,0.10567446
