t,total,max_pen,KE_slab,KE_body1,KE_body2,KE_body3,KE_body4,KE_body5,KE_body6,KE_body7,KE_body8
0.037,107.64963,2.6638315e-05,0,0.00047930433,0.010668201,0.011067309,0.011192478,0.004224256,7.2184054e-06,7.353455e-07,121.6495
0.0375,107.64905,2.3152158e-05,0,0.0004951177,0.011332864,0.011735803,0.011861671,0.0055803875,1.1856416e-05,1.5124081e-06,121.83697
0.038,107.64849,1.9746324e-05,0,0.00050439021,0.011823892,0.012225582,0.012350677,0.0069582751,2.2442103e-05,6.4635294e-06,122.0246
0.0385,107.64793,1.7774569e-05,0,0.00050730717,0.012133943,0.012530037,0.012653115,0.0082787246,4.6585183e-05,2.4987753e-05,122.21237
0.039,107.64739,1.6882359e-05,0,0.00050407026,0.012261155,0.012647793,0.012767738,0.009472746,9.3701605e-05,6.9363392e-05,122.40028
0.0395,107.64685,1.8148007e-05,0,0.0004949034,0.012208707,0.012582326,0.012698077,0.010485855,0.00017021709,0.00014875232,122.58833
0.04,107.64632,1.8548181e-05,0,0.00048007601,0.011984357,0.012341595,0.012452121,0.011279281,0.00027570815,0.00026396733,122.77653
0.0405,107.44089,1.9867969e-05,0,0.00035585215,0.011193384,0.011761692,0.011933088,0.010548204,0.00015339549,0.0002465956,122.71834
0.041,107.13875,6.9371093e-05,0,0.00024908919,0.010582187,0.011140382,0.01130751,0.0098170556,0.00010446483,0.00016453131,122.05749
0.0415,106.83741,0.00012057581,0,0.00016001805,0.0099876543,0.010535641,0.010698688,0.00909368,4.5416448e-05,9.5918951e-05,120.80239
0.042,106.5368,0.00017300631,0,9.0523044e-05,0.0094141148,0.0099481008,0.010106754,0.0083995761,8.7246877e-06,4.4892042e-05,118.96715
0.0425,106.23683,0.00022590502,0,4.0949821e-05,0.0088593883,0.0093776356,0.0095317077,0.0077413014,8.0506432e-07,1.3251115e-05,116.57134
0.043,105.93743,0.00027851234,0,1.0893847e-05,0.008321651,0.0088240513,0.0089735153,0.0071146657,1.5138313e-05,4.0749575e-07,113.63975
0.0435,105.63861,0.0003302318,0,8.2829741e-08,0.0078005843,0.0082872937,0.0084321622,0.0065150065,4.7521321e-05,5.7082473e-06,110.20219
0.044,105.3404,0.00038067834,0,8.4823427e-06,0.0072963419,0.0077673722,0.0079076487,0.0059409045,9.7474919e-05,2.8996509e-05,106.29327
0.0445,105.04288,0.00042964658,0,3.6127107e-05,0.0068089915,0.0072642957,0.0073999768,0.005392866,0.00016547113,7.031447e-05,101.95207
0.045,104.74611,0.0004770462,0,8.3031254e-05,0.0063385108,0.0067780636,0.0069091471,0.004871477,0.00025166856,0.00012969178,97.22179
0.0455,104.45014,0.0005228415,0,0.00014918963,0.0058848749,0.0063086738,0.0064351589,0.0043768301,0.00035598925,0.00020712478,92.149317
0.046,104.15504,0.00056701316,0,0.00023459613,0.0054480781,0.0058561251,0.0059780121,0.0039087676,0.00047836127,0.00030260458,86.784696
0.0465,103.86081,0.00060954311,0,0.00033924914,0.0050281222,0.0054204176,0.0055377065,0.0034671663,0.00061876987,0.00041612804,81.180608
0.047,103.56745,0.00065041355,0,0.00046314914,0.0046250082,0.0050015515,0.0051142423,0.0030520026,0.00077722135,0.00054769541,75.391813
0.0475,103.27494,0.00068960948,0,0.00060629656,0.0042387359,0.0045995267,0.0047076194,0.0026632967,0.00095371931,0.00069730719,69.474585
0.048,102.98327,0.00072711739,0,0.00076869135,0.0038693051,0.0042143433,0.0043178378,0.0023010636,0.001148263,0.00086496342,63.486159
0.0485,102.69239,0.00076291846,0,0.00095033341,0.0035167155,0.0038460012,0.0039448975,0.0019653032,0.0013608513,0.001050664,57.484171
0.049,102.40229,0.00079697883,0,0.0011512227,0.0031809672,0.0034945004,0.0035887986,0.0016560102,0.0015914837,0.0012544088,51.526098
0.0495,102.11294,0.00082924112,0,0.0013713592,0.0028620603,0.0031598409,0.003249541,0.0013731816,0.0018401604,0.0014761979,45.668713
0.05,101.82433,0.00085962107,0,0.0016107429,0.0025599946,0.0028420227,0.0029271246,0.0011168172,0.0021068813,0.0017160313,39.967537
0.0505,101.53644,0.00088801062,0,0.0018693738,0.0022747703,0.0025410459,0.0026215496,0.00088691763,0.0023916466,0.0019739089,34.476301
0.051,101.24927,0.00091428677,0,0.0021472519,0.0020063873,0.0022569104,0.002332816,0.00068348329,0.0026944561,0.0022498308,29.246427
0.0515,100.96281,0.00093832368,0,0.0024443773,0.0017548457,0.0019896162,0.0020609236,0.00050651407,0.0030153099,0.002543797,24.326532
