substep_index,t_substep_s,q_norm_m,qdot_norm,q_acc_norm,KE_modal_J,PE_modal_J,P_damp_W,contact_lambda_max,max_support_deflection_m,n_iter_solves
2372,1.2354166666666666,0.0001437970366444022,3.1071502238135474e-05,0.016098677411809908,4.0599968581723463e-10,0.00030811785317017465,1.4463815249228093e-10,1.2275105714797974,0.00014551331446156155,5
2373,1.2359375,0.000143813136872004,3.075652596858303e-05,0.01550074982729206,3.9792590403938264e-10,0.0003081863494576098,1.4132773513323058e-10,1.228732943534851,0.00014552947444832444,5
2374,1.2364583333333332,0.00014382917711947143,3.0842141341721585e-05,0.01516010017789172,3.9983822910248873e-10,0.0003082543640898221,1.439708912137805e-10,1.2288347482681274,0.0001455455017186987,5
2375,1.2369791666666667,0.00014384520025210887,3.0690758714826974e-05,0.014763484391030689,3.962961541317674e-10,0.0003083223451429775,1.420257047841245e-10,1.2276123762130737,0.00014556152453615203,5
2376,1.2375,0.00014386121685459663,3.08173608819053e-05,0.014360156291980631,3.992152373817507e-10,0.00030839031215595546,1.4543657940925217e-10,1.229988932609558,0.00014557754078736238,5
2377,1.2380208333333333,0.00014387724324599853,3.0728904677328704e-05,0.014099801111476157,3.97277474219989e-10,0.0003084584292214613,1.5189425446986053e-10,1.2280198335647583,0.00014559359896182514,5
2378,1.2385416666666667,0.00014389323615702522,3.0689408386723585e-05,0.014112308296313662,3.9589534247346744e-10,0.00030852632175663863,1.4628518861066147e-10,1.229343295097351,0.00014560959577530926,5
2379,1.2390625,0.0001439092403151719,3.077036005040566e-05,0.013937789625057056,3.983506926873951e-10,0.00030859435286741,1.4367848313025174e-10,1.227829933166504,0.0001456256278759882,5
2380,1.2395833333333333,0.0001439252325108529,3.064469570114115e-05,0.013534035109636872,3.9475844572148165e-10,0.0003086623492424591,1.5177537269865472e-10,1.2287911176681519,0.00014564165158278668,5
2381,1.2401041666666666,0.00014394119622401108,3.066197138538881e-05,0.013295797655454808,3.9550709416371797e-10,0.0003087301468500486,1.4861411321952242e-10,1.227765440940857,0.00014565761957599342,5
2382,1.240625,0.00014395717968623405,3.071802586629833e-05,0.013100607327209237,3.9671408106920135e-10,0.0003087981766922425,1.4085203301964377e-10,1.228601098060608,0.00014567365053176664,5
2383,1.2411458333333334,0.0001439730986995892,3.0416318667185116e-05,0.012722785908453507,3.8910288161073416e-10,0.0003088657151937549,1.3998861011650918e-10,1.2268693447113037,0.00014568954862147465,5
2384,1.2416666666666667,0.00014398889015246514,3.023360424161027e-05,0.01265263987039106,3.8422654352195914e-10,0.0003089322819831071,1.4456927715747993e-10,1.2271894216537476,0.00014570518822380082,5
2385,1.2421875,0.0001440048319558023,3.09906750388813e-05,0.013536823175079335,4.042989661498909e-10,0.00030900025904927566,1.6492082573745816e-10,1.229081153869629,0.0001457212152437933,5
2386,1.2427083333333333,0.00014402079218326811,3.030262010056971e-05,0.015083590394147015,3.8569764420141293e-10,0.0003090683343064801,1.5438380955609994e-10,1.2275532484054565,0.00014573725805711965,5
2387,1.2432291666666666,0.0001440365084431286,3.0060370775509145e-05,0.01395718317792745,3.8034159360404666e-10,0.00030913445689737434,1.4656698475355537e-10,1.2280625104904175,0.00014575277705472113,5
2388,1.24375,0.00014405240301029116,3.098488693092983e-05,0.011129241843884283,4.035265141175995e-10,0.00030920224132161694,1.632947571862394e-10,1.2298318147659302,0.00014576875405692796,5
2389,1.2442708333333332,0.00014406829991890356,3.00697266199245e-05,0.010340331809299445,3.8044589425931506e-10,0.00030926999259117373,1.5001716310348426e-10,1.2281497716903687,0.00014578470981822765,5
2390,1.2447916666666667,0.00014408405445640518,3.0437499094004518e-05,0.010707283096151177,3.893132802357504e-10,0.00030933662980925245,1.4657636585547253e-10,1.2279616594314575,0.00014580036765263386,5
2391,1.2453125,0.00014409996665381007,3.0667377499581477e-05,0.010032357490430984,3.959468646875736e-10,0.0003094047045624053,1.5483154806718882e-10,1.2296104431152344,0.00014581641782079977,5
2392,1.2458333333333333,0.00014411573647658832,2.9898685421077474e-05,0.009117938327655192,3.753585980271961e-10,0.0003094715273863156,1.647866262342518e-10,1.227408766746521,0.0001458321186538897,5
2393,1.2463541666666667,0.00014413150018808513,3.0644859683944874e-05,0.009803187400429441,3.9557494919499097e-10,0.00030953846666417273,1.7811953478609593e-10,1.2285875082015991,0.00014584786148835944,5
2394,1.246875,0.00014414739346355038,3.0388430608951634e-05,0.010105652873803104,3.877854861254978e-10,0.0003096065190763273,1.6278864651861903e-10,1.2284419536590576,0.00014586390075741786,5
2395,1.2473958333333333,0.00014416309543398322,2.9915915475201737e-05,0.008086481721618197,3.767685844026956e-10,0.0003096729440537675,1.4939882312813216e-10,1.2287665605545044,0.00014587949323830647,5
2396,1.2479166666666666,0.00014417889674551027,3.076936159644176e-05,0.005825339573178552,3.9782007557274544e-10,0.00030974037859197887,1.5637085375560573e-10,1.22861647605896,0.0001458953698719327,5
2397,1.2484375,0.00014419468405856136,2.9863374992259834e-05,0.006886116676703246,3.753057418074488e-10,0.0003098076592914922,1.463567975563312e-10,1.2278587818145752,0.0001459111950209686,5
2398,1.2489583333333334,0.00014421030982081422,3.0150026126718716e-05,0.007929323270737596,3.819383504948715e-10,0.00030987367485671766,1.4376801372747528e-10,1.228914737701416,0.0001459266822486428,5
2399,1.2494791666666667,0.00014422611368464474,3.05395330381445e-05,0.006143649541314742,3.92696442129191e-10,0.00030994133205365534,1.5747850221719244e-10,1.2284265756607056,0.000145942620754446,5
2400,1.25,0.00014424179050696702,2.967048236269596e-05,0.0037900813897093276,3.696505887777881e-10,0.0003100078544190761,1.6258895283817712e-10,1.2281209230422974,0.00014595823984506648,5
2401,1.2505208333333333,0.00014425745566641146,3.0495710290900466e-05,0.005783293999716504,3.9171121311866566e-10,0.00031007443261461056,1.7377267566387366e-10,1.229904294013977,0.00014597388365350536,5
2402,1.2510416666666666,0.00014427324730017463,3.014851470995147e-05,0.007514109193467035,3.816790318749653e-10,0.00031014210730376354,1.6558114545200209e-10,1.2276989221572876,0.0001459898201977564,5
2403,1.2515625,0.0001442889083800885,2.999608602654526e-05,0.007191541667892825,3.7892973431535735e-10,0.00031020865798526574,1.5820058894495966e-10,1.2298381328582764,0.0001460054442805496,5
2404,1.2520833333333332,0.0001443045485427697,3.0067397258512678e-05,0.006641458237752719,3.7950369650239285e-10,0.0003102751666311093,1.6773157887026436e-10,1.2270004749298096,0.00014602106712170064,5
2405,1.2526041666666667,0.00014432022141912235,3.012152018390452e-05,0.006379161546525239,3.823441162513897e-10,0.00031034200722214337,1.905261450288852e-10,1.2284265756607056,0.00014603677638113586,5
2406,1.253125,0.00014433590462585547,3.010765949402833e-05,0.006498462186451032,3.8036974752282177e-10,0.0003104089418737816,1.9544872100204302e-10,1.2276265621185303,0.00014605250729560483,5
2407,1.2536458333333333,0.00014435146515334352,2.9654222044153698e-05,0.0053950606893199485,3.705382239253699e-10,0.00031047495626044033,1.7656227211867485e-10,1.2277569770812988,0.00014606799592984103,5
2408,1.2541666666666667,0.00014436701996562243,3.0084425033092477e-05,0.004933162681318734,3.7982400884351125e-10,0.00031054099210027643,1.7935751424816265e-10,1.2278788089752197,0.00014608348983037047,5
2409,1.2546875,0.00014438264977435786,2.993790453042321e-05,0.005526325598515161,3.777845091376167e-10,0.00031060775397612434,1.9203740779701271e-10,1.2287033796310425,0.00014609918324850585,5
2410,1.2552083333333333,0.00014439823545381417,2.9916821832617523e-05,0.006636933751432067,3.754766922767226e-10,0.0003106741609739607,2.0017765394712928e-10,1.2277185916900635,0.00014611477666200148,5
2411,1.2557291666666666,0.00014441372722451986,2.9582200049686756e-05,0.008136950030286699,3.6880067276485305e-10,0.0003107398447367224,1.9223305934625673e-10,1.228587031364441,0.000146130175499725,5
2412,1.25625,0.00014442930816484464,3.0256956552916557e-05,0.010469980519900607,3.8431848960282273e-10,0.0003108064123179151,1.7439966730494541e-10,1.2293484210968018,0.00014614581930707713,5
2413,1.2567708333333334,0.00014444487570567242,2.9529858905490572e-05,0.013097122526436493,3.672470559904707e-10,0.00031087282543967377,1.550222935422715e-10,1.2276411056518555,0.00014616141180107123,5
2414,1.2572916666666667,0.00014446030477975228,2.9727664505737055e-05,0.014127063647618237,3.711045902961714e-10,0.00031093819299927967,1.5854050455211944e-10,1.228184461593628,0.0001461767277652604,5
2415,1.2578125,0.00014447589443187793,3.014156956565906e-05,0.013233657510214608,3.8267966644764747e-10,0.0003110050026606197,1.7438696572054514e-10,1.2290526628494263,0.00014619243571265735,5
2416,1.2583333333333333,0.00014449139730484555,2.939903432216584e-05,0.012412197540330345,3.6287021017105936e-10,0.00031107105545232134,1.6329615600961137e-10,1.2290430068969727,0.00014620792988025066,5
2417,1.2588541666666666,0.00014450681957316286,2.983163534422917e-05,0.012815890681043692,3.747223283062174e-10,0.0003111365295216762,1.4875348626760977e-10,1.228121280670166,0.00014622327365477146,5
2418,1.259375,0.00014452238878875942,2.9955906256526448e-05,0.013355226702525091,3.7708163508360764e-10,0.0003112033376033399,1.4113578043155663e-10,1.2281649112701416,0.0001462389787397302,5
2419,1.2598958333333332,0.00014453782380110847,2.9322408547597287e-05,0.014226931674772141,3.616819745950154e-10,0.0003112689581941996,1.3323158809024166e-10,1.2271898984909058,0.0001462543534524401,5
2420,1.2604166666666667,0.00014455317788195156,2.964647473486865e-05,0.015001070498422782,3.695307686864552e-10,0.00031133409036740396,1.3102933560591587e-10,1.2281649112701416,0.00014626960959737806,5
2421,1.2609375,0.00014456868901283765,2.991864990146693e-05,0.014670194202734006,3.7660507145835764e-10,0.0003114005897815172,1.3649040127643198e-10,1.2286007404327393,0.000146285232011618,5
2422,1.2614583333333333,0.00014458409192068716,2.923618466530292e-05,0.014176164721924102,3.5923451355942444e-10,0.00031146616342195494,1.336129663912099e-10,1.2277129888534546,0.00014630059757546928,5
2423,1.2619791666666667,0.00014459944652101008,2.9733539756343893e-05,0.014443951338428709,3.7198942494621894e-10,0.00031153147348051216,1.3501579113960353e-10,1.229066252708435,0.0001463159012315384,5
2424,1.2625,0.0001446149332102793,2.9737078591788466e-05,0.014626531058806905,3.717718073331631e-10,0.0003115979208623541,1.324595517419714e-10,1.2274656295776367,0.0001463315065450657,5
2425,1.2630208333333333,0.0001446303348398671,2.9409678298205034e-05,0.01466224508356104,3.6379436654086517e-10,0.0003116636447672914,1.314287115121188e-10,1.2291184663772583,0.0001463469108028936,5
2426,1.2635416666666666,0.0001446457327038102,2.9722605820246695e-05,0.014922029207973668,3.714621370753296e-10,0.0003117294429306312,1.3549246207052147e-10,1.227742075920105,0.00014636234035361444,5
2427,1.2640625,0.00014466108864617683,2.9250368846187984e-05,0.01554937460354892,3.5979119679515063e-10,0.000311794903751549,1.3060499268506192e-10,1.2284345626831055,0.00014637767474855442,5
2428,1.2645833333333334,0.00014467640473420437,2.9569629459390882e-05,0.01614125608046269,3.6777047584539845e-10,0.0003118601423136786,1.3058985110294853e-10,1.2282222509384155,0.0001463929545760577,5
2429,1.2651041666666667,0.00014469170331268152,2.9183116231690005e-05,0.0167872765191746,3.5796222133434225e-10,0.00031192530026315755,1.3178010982432225e-10,1.2263596057891846,0.00014640821477020642,5
2430,1.265625,0.00014470699510815992,2.9544675974064877e-05,0.01738364284779908,3.674081683559388e-10,0.00031199048794763786,1.4725890121643594e-10,1.22858726978302,0.0001464234832592346,5
2431,1.2661458333333333,0.00014472240486351656,2.963269008838471e-05,0.01672137283738135,3.6897509824754616e-10,0.00031205670641469677,1.5025293322306076e-10,1.2285714149475098,0.00014643902828069075,5
2432,1.2666666666666666,0.00014473759023641403,2.869613681377383e-05,0.014300858896074981,3.4644488597963924e-10,0.0003121210551338405,1.3997316605060349e-10,1.227785587310791,0.00014645406603819902,5
2433,1.2671875,0.0001447527908955955,2.9690576879751212e-05,0.013247190692055818,3.7052852931150245e-10,0.0003121856825940651,1.4050169807240748e-10,1.2267814874649048,0.00014646918763989555,5
2434,1.2677083333333332,0.00014476820792731426,2.9513268276723265e-05,0.0127316346445678,3.6672275615277386e-10,0.0003122521983896064,1.5021093034985369e-10,1.2286732196807861,0.00014648481661158437,5
2435,1.2682291666666667,0.00014478342213761563,2.8919288892381797e-05,0.011854861105678342,3.511094832612558e-10,0.0003123169208430693,1.6556412686574397e-10,1.2281070947647095,0.00014649994992356775,5
2436,1.26875,0.00014479863769846442,2.9518069442657917e-05,0.011883765551690717,3.670811195381529e-10,0.0003123818366522297,1.6891058298005512e-10,1.2285858392715454,0.00014651514725501247,5
2437,1.2692708333333333,0.00014481386021419755,2.894401822875091e-05,0.012647292068847786,3.5157771829672755e-10,0.0003124468354691224,1.70716164509546e-10,1.2267669439315796,0.0001465303636012312,5
2438,1.2697916666666667,0.00014482905195531816,2.9400072816392154e-05,0.013621113971522802,3.643437472262674e-10,0.00031251165142868174,1.884265257319568e-10,1.2296205759048462,0.00014654553095679658,5
2439,1.2703125,0.00014484432520838652,2.925232438593325e-05,0.013506975876437899,3.589241971354221e-10,0.00031257720489638255,1.9422482073537855e-10,1.2264467477798462,0.00014656089823901087,5
2440,1.2708333333333333,0.00014485948272843966,2.8959418935586303e-05,0.011517823868465346,3.536211852235125e-10,0.00031264180755625034,2.0039381476969625e-10,1.2292407751083374,0.00014657600399380538,5
2441,1.2713541666666666,0.00014487468890745593,2.943849128615813e-05,0.008525865064263536,3.6341215697529306e-10,0.0003127069020492063,2.1276735191334402e-10,1.2269866466522217,0.00014659124603752394,5
2442,1.271875,0.00014488982973879472,2.8712306545730947e-05,0.00461407064554569,3.476528274177948e-10,0.0003127715129651373,2.0826090454859703e-10,1.2286005020141602,0.00014660635838248872,5
2443,1.2723958333333334,0.00014490497470361484,2.9454319700284078e-05,0.0019360298148281955,3.637964164075022e-10,0.00031283620058355116,2.1373322480916746e-10,1.228100061416626,0.00014662148936420437,5
2444,1.2729166666666667,0.00014492026022950574,2.924474687646117e-05,0.0020803229687215217,3.608126090449431e-10,0.00031290214370911226,2.3377174032287853e-10,1.2298518419265747,0.00014663695956737164,5
2445,1.2734375,0.0001449353605754911,2.874982831643365e-05,0.002468714110080847,3.462955519143618e-10,0.0003129664792460927,2.616962151174403e-10,1.2282365560531616,0.00014665198778953455,5
