step,t_s,KE_rigid_J,PE_rigid_J,KE_modal_J,PE_modal_J,P_damp_W,cum_damp_E_J,E_total_J,q_norm_m,qdot_norm,q_acc_norm,max_deflection_m,contact_lambda_max,min_S_h,max_S_h,postkick_calls,impactor_y_m,impactor_vy_mps,probe0_uy_m,probe1_uy_m,probe0_vy_mps,probe1_vy_mps
10,0.08333333333333333,1.880323670828972e-08,-0.0012262499250825516,0.0,0.0,0.0,0.0,-0.0012262311218458432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.019999999552965164,0.0,0.007499995641410351,0.007500050589442253,-0.0019419192103669047,-0.0019365547923371196
11,0.09166666666666666,2.875748414586657e-07,-0.0012131794338002824,0.0,0.0,0.0,0.0,-0.0012128918589588238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.020001571625471115,-0.000997781753540039,0.0075545539148151875,0.007554757874459028,0.0027725098188966513,0.0027903912123292685
12,0.1,9.342670203388347e-07,-0.0012251165245547914,0.0,0.0,0.0,0.0,-0.0012241822575344526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.019999999552965164,0.0,0.007511400151997805,0.007511753123253584,-0.013678370974957943,-0.013660489581525326
13,0.10833333333333334,5.014113099719582e-07,-0.001220937181485819,0.0,0.0,0.0,0.0,-0.0012204357701758471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.020001081749796867,-0.0014162062434479594,0.007499998901039362,0.0075001404620707035,-7.152556918299524e-06,2.145767030015122e-05
14,0.11666666666666667,9.992005951077029e-15,-0.0012262521634697936,0.0,0.0,0.0,0.0,-0.0012262521634598016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.019999999552965164,0.0,0.007500000298023224,0.007500000298023224,1.788139229574881e-06,8.940696147874405e-07
15,0.125,1.1395812067093348e-07,-0.0012052554059196286,0.0,0.0,0.0,0.0,-0.0012051414477989577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.020002858713269234,6.079673403291963e-05,0.007571083959192038,0.007571069058030844,0.004755556117743254,0.004753767978399992
16,0.13333333333333333,6.840076415104466e-07,-0.0012218925617057852,0.0,0.0,0.0,0.0,-0.0012212085540642748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.019999999552965164,0.0,0.007544455584138632,0.007544425781816244,-0.011695324443280697,-0.011697112582623959
17,0.14166666666666666,5.042360464481432e-07,-0.0012169285040237031,0.0,0.0,0.0,0.0,-0.001216424267977255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.020001543685793877,-0.0010228157043457031,0.007517854683101177,0.007517817430198193,-0.006966590415686369,-0.006967484485358
18,0.15,9.019503579427225e-09,-0.00122589562035911,0.0,0.0,0.0,0.0,-0.0012258866008555307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.019999999552965164,0.0,0.00750377494841814,0.007503494620323181,-0.0013196467189118266,-0.0013661383418366313
19,0.15833333333333333,5.581887528673149e-07,-0.0012147470357716107,0.0,0.0,0.0,0.0,-0.0012141888470187433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.020001081749796867,-0.0014162062434479594,0.007563503924757242,0.007562836166471243,0.0033929941710084677,0.003346502548083663
20,0.16666666666666666,8.555828306583456e-07,-0.0012238094891309761,0.0,0.0,0.0,0.0,-0.0012229539063003177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.019999997690320015,0.0,0.0075255208648741245,0.007524465676397085,-0.013057886622846127,-0.013104378245770931
