solver,scene,relax,iters,substeps,ratio_off,e_modal_peak,e_imp_peak,u_max,peak_net_J,u_final,eq2_violates,margin_J,margin_allow_J,eq2_violates_allow,max_deposit,excess_max,gross_supply,return_channel,return_frac,cum_modal_gain,cum_rigid_loss,max_net_excess,ledger_holds,ledger_passive,n_clamped,n_steps,n_commits,finite,wall_s
impulse,shelf,0.7,32,8,0.5314210974838222,15.385186408768405,28.951026749999833,0.40839326879576077,15.664256274335912,0.0006058915243292954,False,-0.0005743256835932852,-7.268157076096542,False,7.267582750412949,-0.0005743256835932852,38.35581404298237,10.388864723028815,0.2708550185217507,19.54524747084462,38.35581404298237,-0.0005743256835932852,True,True,0,864,864,True,2.7914045839570463
impulse,shelf,1.0,4,1,0.2734963360323582,7.91799974049979,28.951026749999997,0.2502408283349815,7.91799974049979,0.003039932238758402,False,-0.03675684374999809,-25.211793454948342,False,25.175036611198344,-0.03675684374999809,31.64151826535863,1.9666445196925377,0.06215392394256994,8.404602646263456,31.64151826535863,-0.03675684374999809,True,True,0,108,108,True,0.2584344999631867
impulse,shelf,1.0,8,2,0.4734561413827708,13.707041414124433,28.95102675000011,0.3907946770218437,13.707041414124433,0.0025921350368473136,False,-0.009189210937499439,-22.31040425618339,False,22.30121504524589,-0.009189210937499439,35.07479047202649,7.060464441139427,0.20129740894020226,15.458974554416187,35.07479047202649,-0.009189210937499439,True,True,0,216,216,True,0.4752311670454219
impulse,shelf,1.0,16,4,0.46918144535818657,13.583284575168515,28.951026749999983,0.37589002752642003,13.589728004689054,0.0011451035520215831,False,-0.0022973027343731406,-15.50598265172775,False,15.503685348993377,-0.0022973027343731406,36.15346779513558,8.102392075830334,0.2241110623673147,16.15654563471012,36.15346779513558,-0.0022973027343731406,True,True,0,432,432,True,1.0871139169903472
impulse,shelf,1.0,32,8,0.5314210974838222,15.385186408768405,28.951026749999833,0.40839326879576077,15.664256274335912,0.0006058915243292954,False,-0.0005743256835932852,-7.268157076096542,False,7.267582750412949,-0.0005743256835932852,38.35581404298237,10.388864723028815,0.2708550185217507,19.54524747084462,38.35581404298237,-0.0005743256835932852,True,True,0,864,864,True,2.6420414169551805
impulse,ledge,0.7,4,1,0.030151432709171505,11.6066251733724,384.94440000000003,0.029435293679901567,11.6066251733724,2.179835961430247e-05,False,-0.18064451886735416,-381.39971413121214,False,381.21906961234475,-0.18064451886735416,394.30981391218154,1.6119365828723888,0.004087995089139197,11.614275456968299,394.30981391218154,-0.18064451886735416,True,True,0,108,108,True,0.37741908291354775
impulse,ledge,0.7,8,2,0.11263165234656994,43.356923833559186,384.944400000002,0.10871436845576836,43.356923833559186,2.155205440652584e-05,False,-0.04719912890624605,-388.87446841694987,False,388.8272692880436,-0.04719912890624605,398.81502739170514,6.280609489801282,0.015748176619314398,43.599381889619444,398.81502739170514,-0.04719912890624605,True,True,0,216,216,True,0.7415565000846982
impulse,ledge,0.7,16,4,0.17839412529890805,68.6718195267128,384.94439999999895,0.2131484561509041,88.84624648828091,2.062072770818416e-05,False,-0.011799782226547728,-362.81310199795644,False,362.8013022157299,-0.011799782226547728,416.8280084814682,24.333693068089087,0.058378258113552225,91.72457667676237,416.8280084814682,-0.011799782226547728,True,True,0,432,432,True,1.452613375033252
impulse,ledge,0.7,32,8,0.14506797962072715,55.84310637431267,384.9443999999974,0.25147110777248516,106.09723263040671,2.037998130931105e-05,False,-0.0029499455566371698,-271.50841159729634,False,271.5054616517397,-0.0029499455566371698,421.9062522538241,29.429620192414855,0.06975393238474605,111.7919336108234,421.9062522538241,-0.0029499455566371698,True,True,0,864,864,True,3.0950199590297416
impulse,ledge,1.0,4,1,0.030151432709171505,11.6066251733724,384.94440000000003,0.029435293679901567,11.6066251733724,2.179835961430247e-05,False,-0.18064451886735416,-381.39971413121214,False,381.21906961234475,-0.18064451886735416,394.30981391218154,1.6119365828723888,0.004087995089139197,11.614275456968299,394.30981391218154,-0.18064451886735416,True,True,0,108,108,True,0.3812912910943851
impulse,ledge,1.0,8,2,0.11263165234656994,43.356923833559186,384.944400000002,0.10871436845576836,43.356923833559186,2.155205440652584e-05,False,-0.04719912890624605,-388.87446841694987,False,388.8272692880436,-0.04719912890624605,398.81502739170514,6.280609489801282,0.015748176619314398,43.599381889619444,398.81502739170514,-0.04719912890624605,True,True,0,216,216,True,0.7536495410604402
impulse,ledge,1.0,16,4,0.17839412529890805,68.6718195267128,384.94439999999895,0.2131484561509041,88.84624648828091,2.062072770818416e-05,False,-0.011799782226547728,-362.81310199795644,False,362.8013022157299,-0.011799782226547728,416.8280084814682,24.333693068089087,0.058378258113552225,91.72457667676237,416.8280084814682,-0.011799782226547728,True,True,0,432,432,True,1.484140916960314
impulse,ledge,1.0,32,8,0.14506797962072715,55.84310637431267,384.9443999999974,0.25147110777248516,106.09723263040671,2.037998130931105e-05,False,-0.0029499455566371698,-271.50841159729634,False,271.5054616517397,-0.0029499455566371698,421.9062522538241,29.429620192414855,0.06975393238474605,111.7919336108234,421.9062522538241,-0.0029499455566371698,True,True,0,864,864,True,3.1645033339736983
impulse,dinner,0.7,4,1,0.12579060217042193,3.034805906945411,24.125855625,0.1107878385819415,3.034805906945411,0.009580492834402876,False,-0.03863071960375754,-24.02499440209021,False,23.986363682486452,-0.03863071960375754,27.3929516613937,2.435670708189308,0.08891596416102995,4.320446169728897,27.3929516613937,-0.03863071960375754,True,True,0,108,108,True,1.6543396670604125
impulse,dinner,0.7,8,2,0.1823704043523023,4.399842045676534,24.125855625000092,0.15496237613640354,4.399842045676534,0.016286485458502815,False,-0.009957763124999606,-24.76322463223108,False,24.75326686910608,-0.009957763124999606,28.392969670287144,3.4120239211387458,0.12017143542083879,6.414477346839417,28.392969670287144,-0.009957763124999606,True,True,0,216,216,True,3.407542833010666
impulse,dinner,0.7,16,4,0.15005317468838075,3.620161228604776,24.125855624999986,0.1279958524503629,3.709994982212666,0.024311249302797613,False,-0.002489440781248394,-23.458632240833463,False,23.456142800052216,-0.002489440781248394,28.985275000620902,4.013948135687699,0.13848232026785032,6.532079490544464,28.985275000620902,-0.002489440781248394,True,True,0,432,432,True,8.095837416942231
impulse,dinner,0.7,32,8,0.1812418599835171,4.372614947168773,24.12585562499986,0.15812253467912607,4.653080410962775,0.03188487140264754,False,-0.0006223601953122073,-23.917778704097557,False,23.917156343902246,-0.0006223601953122073,29.427054280436053,4.470496502242559,0.15191790723051316,7.796398924196528,29.427054280436053,-0.0006223601953122073,True,True,0,864,864,True,20.09458454104606
impulse,dinner,1.0,4,1,0.12579060217042193,3.034805906945411,24.125855625,0.1107878385819415,3.034805906945411,0.009580492834402876,False,-0.03863071960375754,-24.02499440209021,False,23.986363682486452,-0.03863071960375754,27.3929516613937,2.435670708189308,0.08891596416102995,4.320446169728897,27.3929516613937,-0.03863071960375754,True,True,0,108,108,True,1.7025719999801368
impulse,dinner,1.0,8,2,0.1823704043523023,4.399842045676534,24.125855625000092,0.15496237613640354,4.399842045676534,0.016286485458502815,False,-0.009957763124999606,-24.76322463223108,False,24.75326686910608,-0.009957763124999606,28.392969670287144,3.4120239211387458,0.12017143542083879,6.414477346839417,28.392969670287144,-0.009957763124999606,True,True,0,216,216,True,3.572762458003126
impulse,dinner,1.0,16,4,0.15005317468838075,3.620161228604776,24.125855624999986,0.1279958524503629,3.709994982212666,0.024311249302797613,False,-0.002489440781248394,-23.458632240833463,False,23.456142800052216,-0.002489440781248394,28.985275000620902,4.013948135687699,0.13848232026785032,6.532079490544464,28.985275000620902,-0.002489440781248394,True,True,0,432,432,True,8.222169833956286
impulse,dinner,1.0,32,8,0.1812418599835171,4.372614947168773,24.12585562499986,0.15812253467912607,4.653080410962775,0.03188487140264754,False,-0.0006223601953122073,-23.917778704097557,False,23.917156343902246,-0.0006223601953122073,29.427054280436053,4.470496502242559,0.15191790723051316,7.796398924196528,29.427054280436053,-0.0006223601953122073,True,True,0,864,864,True,20.676098082913086
