cell,scene,relax,iters,substeps,axis,value,nframes,settle,window_s,rank,f_min_Hz,f_max_Hz,n_stiff,f_gap_lo_Hz,f_gap_hi_Hz,dt_s,support_compliance,contact_compliance,ratio_off,e_modal_peak,e_imp_peak,u_max,peak_net_J,u_final,eq2_violates,margin_J,margin_allow_J,eq2_violates_allow,max_deposit,excess_max,gross_supply,return_channel,return_frac,cum_modal_gain,cum_rigid_loss,max_net_excess,ledger_holds,ledger_passive,n_clamped,n_steps,n_commits,finite,wall_s
shelf_relax0.7_4x1,shelf,0.7,4,1,h,1/60,50,4,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.016666666666666666,1e-08,0.0,15339.74749627508,398584.13916942215,25.983748380878467,11175.339488913227,398584.13916942215,256.47877663141116,True,398556.48674673314,398538.4244322749,True,18.062314458249883,398556.48674673314,35.66640096838646,5.888481521733817,0.16509884266016006,979088.3561938518,35.66640096838646,398556.48674673314,False,False,0,54,54,True,0.12702716700732708
shelf_relax0.7_4x1,shelf,0.7,4,1,h,1/240,200,16,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.004166666666666667,1e-08,0.0,494.61385744648106,14319.578191403307,28.95102507909968,378.84115194668163,14319.578191403307,11.827117731846329,True,14288.944641402579,14272.215090934364,True,16.729550468214462,14288.944641402579,37.79837041942754,10.746181356427114,0.28430276853691583,59984.97006267548,37.79837041942754,14288.944641402579,False,False,0,216,216,True,0.3198699589120224
shelf_relax0.7_4x1,shelf,0.7,4,1,support_compliance,1e-06,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,1e-06,0.0,6320.735058942101,173487.34893961754,27.44733758365345,4562.33526712108,173487.34893961754,231.42104475484442,True,173457.02502854218,173438.57091790807,True,18.454110634099496,173457.02502854218,38.025997385565084,8.553198763806613,0.2249302937956195,396518.3392668369,38.025997385565084,173457.02502854218,False,False,0,108,108,True,0.20620170806068927
shelf_relax0.7_4x1,shelf,0.7,4,1,support_compliance,0.0001,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,0.0001,0.0,924.5538042624526,25376.54037984259,27.44733758365345,637.7764372922406,25376.54037984259,9.019426729409714,True,25345.115183912112,25332.050213968552,True,13.064969943560106,25345.115183912112,39.78908422453149,10.032342758618602,0.2521380663602526,62783.05444229004,39.78908422453149,25345.115183912112,False,False,0,108,108,True,0.19067845807876438
shelf_relax0.7_4x1,shelf,0.7,4,1,contact_compliance,1e-08,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,1e-08,1e-08,6333.221296009669,173830.06290356058,27.44733758365345,4562.317341795433,173830.06290356058,228.82378402716574,True,173799.74647536603,173781.23470765157,True,18.5117677144686,173799.74647536603,38.10126518624684,8.707401593861727,0.22853313535123185,415513.47616778547,38.10126518624684,173799.74647536603,False,False,0,108,108,True,0.19795516598969698
shelf_relax0.7_4x1,shelf,0.7,4,1,contact_compliance,1e-06,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,1e-08,1e-06,6333.221296009669,173830.06290356058,27.44733758365345,4560.539952206293,173830.06290356058,269.0118267238375,True,173799.74647536603,173781.23470765157,True,18.5117677144686,173799.74647536603,38.11611447882729,8.725934656282924,0.22893032974622843,418582.0991969481,38.11611447882729,173799.74647536603,False,False,0,108,108,True,0.21630629198625684
shelf_relax0.7_4x1,shelf,0.7,4,1,rank,no local (excl. stiff cluster),100,8,0.8333333333333334,10,20.34038718380772,2034.0387183807711,0,,,0.008333333333333333,1e-08,0.0,22.14250854678585,607.752907032563,27.44733758365345,16.21653615855507,607.752907032563,1.529133006432776,True,583.8506759432204,565.0954603690551,True,18.75521557416531,583.8506759432204,37.47735651376707,7.896426002036582,0.21069858540145114,1271.167277323844,37.47735651376707,583.8506759432204,False,False,0,108,108,True,0.17694004194345325
shelf_relax0.7_4x1,shelf,0.7,4,1,rank,n_global=16,100,8,0.8333333333333334,22,20.340386859908683,63260.29918035988,6,5206.268444607642,60823.91473623489,0.008333333333333333,1e-08,0.0,39074.37157061852,1072487.4673678775,27.44733758365345,27070.497708281862,1072487.4673678775,291.03726149070013,True,1072457.2194101184,1072441.510138108,True,15.709272010437811,1072457.2194101184,39.61831359457289,9.859027890499393,0.24885026635383922,1553424.1562989196,39.61831359457289,1072457.2194101184,False,False,0,108,108,True,0.21232125000096858
shelf_relax0.7_4x1,shelf,0.7,4,1,rayleigh_alpha0,1,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,1e-08,0.0,6412.120706013911,175995.64164509813,27.44733758365345,4605.276940691952,175995.64164509813,484.4265940876489,True,175965.3100077422,175946.8096350509,True,18.50037269131043,175965.3100077422,38.21608209704201,8.425436404165833,0.22046834583333635,424570.5191398526,38.21608209704201,175965.3100077422,False,False,0,108,108,True,0.20188295794650912
shelf_relax0.7_4x1,shelf,0.7,4,1,rayleigh_alpha0,6,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,1e-08,0.0,6218.05628713272,170669.09002709054,27.44733758365345,4457.949208851755,170669.09002709054,300.70398656685313,True,170638.79623414323,170620.26866621216,True,18.52756793108086,170638.79623414323,38.284215909909435,8.545568185372712,0.22321387502050913,396562.21626870235,38.284215909909435,170638.79623414323,False,False,0,108,108,True,0.20421333296690136
shelf_relax0.7_4x1,shelf,0.7,4,1,rayleigh_alpha1,1e-4,100,8,0.8333333333333334,16,20.340385061101838,24707.92121981384,6,2033.037375065296,20685.204473309528,0.008333333333333333,1e-08,0.0,6308.258135563023,173144.8906116266,27.44733758365345,4561.66450063103,173144.8906116266,24.33290800387679,True,173114.58398884558,173096.08571706887,True,18.498271776702374,173114.58398884558,37.9565157822709,8.417170209195554,0.2217582419176401,326674.5351140967,37.9565157822709,173114.58398884558,False,False,0,108,108,True,0.20797870797105134
