solver,scene,relax,iters,substeps,injects_off,ratio_off,ratio_on,passive_off,passive_on,holds_off,holds_on,cum_gain_off,cum_gain_on,cum_loss_off,cum_loss_on,max_net_excess_on,e_modal_peak_off,e_imp_peak_off,n_clamped_on,n_steps_on,finite_off,finite_on,wall_off_s,wall_on_s
xpbd,dinner,1.0,16,4,False,0.2120960236861659,0.2120960236861659,True,True,True,True,0.0,8.407068261068037,0.0,29.786410494137368,-0.0024894407812499995,5.116997750762923,24.125854232583066,0,432,True,True,12.624169666902162,12.514577417052351
xpbd,dinner,1.0,32,8,False,0.22550587267467298,0.22550587267467298,True,True,True,True,0.0,8.930397361313267,0.0,29.85263742486363,-0.0006223601953124998,5.440521812740597,24.125854232583066,0,864,True,True,46.108639375073835,46.623747208039276
avbd,shelf,0.7,4,1,False,0.5022392611128728,0.5022392611128728,,True,,True,,15.72816415627592,,24.218545635418533,-0.0020534795039182587,11.271225795569263,22.441944842373005,0,108,True,True,0.18042708293069154,0.11067379103042185
avbd,shelf,0.7,8,2,False,0.27124711524052814,0.26023240311766443,,True,,True,,7.886943355251347,,29.77092362350746,-4.336808689942018e-19,7.728478501950896,28.492389661352433,68,216,True,True,0.3592413340229541,0.37319737498182803
avbd,shelf,0.7,16,4,False,0.6173990035150052,0.6181763689245159,,True,,True,,20.377390331936535,,39.009185412069975,1.0842021724855044e-18,17.765054655465395,28.774025475137705,102,432,True,True,1.3516894169151783,1.3542232080362737
avbd,shelf,0.7,32,8,False,0.7242611547588103,0.7212080583118019,,True,,True,,27.472867815409803,,48.18399805237668,3.469446951953614e-18,20.847947432691296,28.785124392918704,152,864,True,True,4.907577333971858,4.784136875066906
avbd,shelf,1.0,4,1,False,0.8587018889879681,0.8586755938851545,,True,,True,,19.27035031546252,,28.42934278318455,2.6020852139652106e-18,19.270940428709487,22.441944842373005,12,108,True,True,0.09833816706668586,0.10719624999910593
avbd,shelf,1.0,8,2,False,0.3965717994508056,0.380147531262177,,True,,True,,14.13659774754784,,32.582564352259034,1.214306433183765e-17,11.299278238656065,28.492389661352433,70,216,True,True,0.3439555000513792,0.3645065410528332
avbd,shelf,1.0,16,4,False,0.6610646352229972,0.660836863820945,,True,,True,,22.456853683387614,,40.76840366328022,1.0842021724855044e-18,19.021490654619136,28.774025475137705,95,432,True,True,1.2737763329641894,1.3015393750974908
avbd,shelf,1.0,32,8,False,0.7228742698958187,0.7179010552892515,,True,,True,,27.043259204873912,,47.4493233229176,2.6020852139652106e-18,20.80802577939143,28.785124392918704,161,864,True,True,4.920044124941342,4.859836540999822
avbd,ledge,0.7,4,1,False,0.08010957298187897,0.08865952820663572,,True,,True,,34.67543095725226,,369.3484283793275,-0.005206471630257961,30.27362475794234,377.90271038881116,21,108,True,True,0.09835037495940924,0.10719862498808652
avbd,ledge,0.7,8,2,False,0.09139069135681713,0.09141888033656653,,True,,True,,37.04009361756206,,418.28951655552675,-0.003139400885687052,35.086133616313276,383.91364695257977,70,216,True,True,0.33116612501908094,0.3601277500856668
avbd,ledge,0.7,16,4,False,0.1742662221393417,0.1741507005769757,,True,,True,,73.63408877575121,,549.8107631328044,-0.002836423152062461,67.04050611487489,384.70166674795934,162,432,True,True,1.218608290888369,1.2159590410301462
avbd,ledge,0.7,32,8,False,0.2618889539738268,0.261838537388857,,True,,True,,101.22861324186066,,582.8166712216768,0.0,101.1278956763131,386.14799953120524,353,864,True,True,4.536162208998576,4.616149916080758
avbd,ledge,1.0,4,1,False,0.06857717143833243,0.08007149193817335,,True,,True,,31.81221849995397,,369.38035214504407,-0.00491120467708904,25.915498957343992,377.90271038881116,20,108,True,True,0.09908770897891372,0.10763774998486042
avbd,ledge,1.0,8,2,False,0.0905539751278164,0.09117965850629431,,True,,True,,36.47816524543239,,416.9643585243684,-0.002904657860030628,34.764906837373196,383.91364695257977,66,216,True,True,0.32709354208782315,0.34624870808329433
