scene,control,solver,iters,substeps,relax,margin_J,eq2_violates,gross_supply_J,return_channel_J,cum_modal_gain_J,peak_net_modal_J,peak_modal_E_J,kick_realized_J,n_steps,finite,wall_s
shelf,resting_no_impact,impulse,4,1,0.7,0.0,False,0.14943117958239155,0.04295538625352752,0.08716990268895014,0.06900082595291532,0.03326510758587693,,108,True,0.23759887495543808
shelf,resting_no_impact,impulse,8,2,0.7,0.0,False,0.2068423180780428,0.1006682233695403,0.14693903220544793,0.08740516771545068,0.04580140594694901,,216,True,0.5180266660172492
shelf,resting_no_impact,impulse,16,4,0.7,0.0,False,0.35866880339705287,0.25227836872944076,0.30194960915573005,0.119149462360361,0.07276711367179732,,432,True,1.2200380420545116
shelf,resting_no_impact,impulse,32,8,0.7,0.0,False,0.6070061215496906,0.4975443650123919,0.555017864944508,0.14315641041239613,0.10317810782053462,,864,True,3.1670438749715686
ledge,resting_no_impact,impulse,4,1,0.7,-0.0034796468835159534,False,0.07504906025900177,0.00027622175668007287,0.0002779683114814156,0.00027318612496777725,0.00019687531923647919,,108,True,0.36465458397287875
ledge,resting_no_impact,impulse,8,2,0.7,0.0,False,0.06812726929032611,0.0,0.00039422286386676567,0.00039422286185420785,0.0001938003962449324,,216,True,0.7660595829365775
ledge,resting_no_impact,impulse,16,4,0.7,0.0,False,0.06499114468074052,0.0,0.000682139463172342,0.0006821394531773363,0.0001913964485078677,,432,True,1.6733229160308838
ledge,resting_no_impact,impulse,32,8,0.7,0.0,False,0.0643994644616965,1.734723475976807e-17,0.002224040844208627,0.0019972253651457427,0.00019114758073874533,,864,True,3.9611775829689577
dinner,resting_no_impact,impulse,4,1,0.7,-0.0004918355739662923,False,0.24344848401717906,0.11133623157102313,0.15584200619858557,0.0913586697574664,0.0913586697574664,,108,True,1.549700167030096
dinner,resting_no_impact,impulse,8,2,0.7,0.0,False,0.31446859224184187,0.18811150004589045,0.22796563789270957,0.10600961618542647,0.10600961618542647,,216,True,3.3768662080401555
dinner,resting_no_impact,impulse,16,4,0.7,0.0,False,0.37618931208927237,0.25751986777683106,0.2919979191978545,0.1160394243966246,0.11590786548634668,,432,True,7.641677375067957
dinner,resting_no_impact,impulse,32,8,0.7,0.0,False,0.4172619885486927,0.3050273652161128,0.3349202729255591,0.12141879092277623,0.12120625887693035,,864,True,19.083153125015087
shelf,modal_freevib,xpbd,4,1,0.7,4338.527527819011,True,0.3167594769629826,0.21932906022039966,40246.76638714549,4338.653427439244,3267.841521021917,1.0000000000000002,108,True,0.2125684580532834
shelf,modal_freevib,xpbd,8,2,0.7,103.99480863139082,True,0.3686022439521052,0.2782946368535977,283.85427317892004,104.12695391312657,49.34167579516561,1.0000000000000002,216,True,0.7547584170242772
shelf,modal_freevib,xpbd,16,4,0.7,0.9968549386862428,True,0.20947618438792492,0.11955742533415967,1.1531189776245234,0.9968549386863221,0.7250881143537664,1.0000000000000002,432,True,2.763691041036509
shelf,modal_freevib,xpbd,32,8,0.7,0.9941932613427759,True,0.5880266861804231,0.4990484088976626,0.25342292199601546,0.9941932613427759,0.15814202092900898,1.0000000000000002,864,True,10.850300875026733
ledge,modal_freevib,xpbd,4,1,0.7,580.3303417009497,True,0.09833046289210218,0.02437230957511205,7217.464086073533,580.4124952387485,334.907206370462,1.0000000000000002,108,True,0.3326370830181986
ledge,modal_freevib,xpbd,8,2,0.7,1.2620010987230215,True,0.09288995793254634,0.028607348699017036,2.158486482518387,1.3262670179888012,0.9881975948769852,1.0000000000000002,216,True,1.0567304589785635
ledge,modal_freevib,xpbd,16,4,0.7,0.9989591919498315,True,0.10133281657401749,0.03581659385960562,0.005662111585928331,0.9989591919504924,0.6718630547415223,1.0000000000000002,432,True,3.572019250015728
ledge,modal_freevib,xpbd,32,8,0.7,0.9977247527328827,True,0.11837313623954454,0.05432141802503697,0.0,0.9977247527328827,0.2930216490012898,1.0000000000000002,864,True,13.78073133295402
dinner,modal_freevib,xpbd,4,1,0.7,0.9889644094871339,True,0.5080468581841465,0.4231746442869901,0.20273642066910358,0.9912839722139319,0.9860558183028103,0.9999999999999999,108,True,1.2061707091052085
dinner,modal_freevib,xpbd,8,2,0.7,0.9971993363047775,True,0.5333552788008307,0.4515851158493385,0.05827378399883372,0.9971993363047775,0.8701485629658172,0.9999999999999999,216,True,3.8982464580330998
dinner,modal_freevib,xpbd,16,4,0.7,0.9964579620122755,True,0.5440506547197278,0.4639425706906047,0.1667502385120309,0.9964579620123417,0.47785051654126187,0.9999999999999999,432,True,13.739654624951072
dinner,modal_freevib,xpbd,32,8,0.7,0.9947024111435001,True,0.5662016062101578,0.48706803786057756,0.21730387162546483,0.9947024111435001,0.1781077431931967,0.9999999999999999,864,True,51.37541954196058
shelf,modal_freevib,avbd,4,1,0.7,0.9544319152631024,True,36.42211982374191,0.0,0.0163203257269246,0.9549191954394183,0.853998089183326,1.0000000000000002,108,True,0.10661487502511591
shelf,modal_freevib,avbd,8,2,0.7,0.9868031836552615,True,44.739911646735855,0.0002492767608851861,0.0,0.9879463422896742,0.813441114098141,1.0000000000000002,216,True,0.3514899170259014
shelf,modal_freevib,avbd,16,4,0.7,0.9963584525373411,True,47.585497316882396,0.0020956454548777077,0.007472594839859292,0.9968549360060708,0.5930878746922168,1.0000000000000002,432,True,1.3049190000165254
